word tf tf_idf
выпускник 0.030928 0.002393
мфть 0.02543 0.018732
абитуриент 0.003436 0.000227
один 0.002749 0.001473
главный 0.000687 3e-05
принцип 0.000687 0.000506
уникальный 0.001375 0.000895
система 0.002062 2.2e-05
физтех 0.024055 0.01772
заложить 0.000687 0.000506
основа 0.000687 0.000344
образование 0.003436 3.7e-05
являться 0.004124 0.001991
тщательный 0.000687 0.000522
отбор 0.000687 0.000476
одарённый 0.000687 0.000491
склонный 0.000687 0.000522
творческий 0.000687 0.000297
работа 0.002062 9e-05
представитель 0.001375 0.000205
молодёжь 0.000687 0.000344
становиться 0.000687 0.000491
самый 0.001375 0.000664
талантливый 0.000687 0.000506
высокообразованный 0.000687 0.000522
школа 0.002062 2.2e-05
весь 0.000687 0.00032
россия 0.001375 7.5e-05
десяток 0.000687 0.000522
страна 0.000687 0.000368
мир 0.002749 0.001473
приёмный 0.001375 0.000106
комиссия 0.001375 0.00055
центр 0.005498 0.000118
зфтша 0.001375 0.001043
олимпиада 0.000687 4.5e-05
конференция 0.005498 0.000425
студент 0.003436 0.000227
аспирант 0.000687 6.1e-05
ru 0.008935 0.0
en 0.000687 0.000344
карта 0.002062 0.000183
сайт 0.002749 5.9e-05
личный 0.000687 0.000119
кабинет 0.000687 0.000119
вход 0.001375 4.5e-05
администратор 0.000687 0.000506
адрес 0.000687 0.000137
e 0.001375 0.000445
mail 0.002062 4.4e-05
вспомнить 0.000687 0.000522
оставаться 0.000687 0.000522
регистрация 0.001375 4.5e-05
забыть 0.000687 0.000146
пароль 0.000687 0.000137
сервис 0.000687 0.000332
it 0.000687 2.2e-05
поиск 0.000687 0.000297
тело 0.000687 0.000434
справочник 0.000687 0.000128
поддержать 0.001375 0.000924
о 0.001375 0.000205
ведущий 0.000687 0.000286
технический 0.002062 6.7e-05
вуз 0.000687 0.000297
институт 0.004124 8.9e-05
право 0.001375 0.000445
занимать 0.000687 0.000506
лидировать 0.000687 0.000522
место 0.000687 7e-06
качественный 0.000687 0.000506
приём 0.001375 0.000465
квалифицировать 0.000687 0.000491
подготовка 0.000687 0.000119
узкий 0.000687 0.000522
круг 0.001375 0.001043
лицо 0.000687 0.000356
который 0.004811 0.001629
благодаря 0.000687 0.000448
окружающие 0.000687 0.000522
возможность 0.001375 0.000664
междисциплинарный 0.000687 0.000137
научный 0.004811 0.000103
мочь 0.006186 0.003315
полный 0.000687 0.000448
мера 0.000687 0.000128
реализовать 0.000687 0.000344
свой 0.00756 0.002674
потенциал 0.000687 0.000434
общий 0.001375 0.000617
информация 0.002062 4.4e-05
руководство 0.000687 0.000448
подразделение 0.000687 2.2e-05
публикация 0.000687 0.000368
сми 0.000687 6.9e-05
рейтинг 0.000687 0.000381
история 0.003436 0.000266
сведение 0.002062 0.001261
образовательный 0.001375 1.5e-05
организация 0.002062 0.000257
партнёр 0.000687 0.000286
профилактика 0.000687 0.000344
коронавирус 0.000687 6.9e-05
цель 0.000687 0.00042
устойчивый 0.000687 0.000407
развитие 0.004811 0.000209
оплата 0.000687 0.000448
­­ 0.000687 0.000522
обучение 0.002062 2.2e-05
хороший 0.000687 0.000286
подход 0.000687 0.000476
доказывать 0.000687 0.000522
существование 0.000687 0.000522
неизменный 0.000687 0.000522
вид 0.000687 0.000407
60 0.000687 0.000356
год 0.003436 0.000641
получение 0.000687 0.000381
фундаментальный 0.000687 0.000119
область 0.001375 0.000486
математика 0.001375 6e-05
физика 0.002062 9e-05
предварительный 0.000687 0.000476
знакомство 0.000687 0.000522
избранный 0.001375 0.001043
специализация 0.000687 0.000506
наряду 0.000687 0.000506
приобретение 0.000687 0.000491
навык 0.000687 0.000448
самостоятельный 0.000687 0.000506
4м 0.000687 0.000522
курс 0.001375 0.000329
обеспечивать 0.000687 0.000434
каждый 0.001375 0.000924
объём 0.000687 0.000476
знание 0.000687 0.000344
опыт 0.004124 0.002686
полноценный 0.000687 0.000522
учёный 0.001375 7.5e-05
такой 0.001375 0.000737
образ 0.000687 0.000434
окончание 0.000687 0.000297
иметь 0.000687 0.000332
значительный 0.000687 0.000476
достижение 0.000687 3.8e-05
они 0.001375 0.000814
направление 0.002062 0.000729
деятельность 0.002749 0.000213
дистанционный 0.000687 1.5e-05
открытый 0.000687 0.000223
онлайн 0.000687 0.000213
институтский 0.001375 0.001043
кафедра 0.002062 0.000113
департамент 0.000687 0.000137
преподаватель 0.002749 0.00089
базовый 0.000687 0.000434
факультетский 0.000687 0.000506
школьник 0.000687 0.000275
иностранный 0.000687 2.2e-05
гражданин 0.001375 4.5e-05
повышение 0.001375 0.000122
квалификация 0.001375 0.000171
фпй 0.000687 0.000522
диссертационный 0.000687 0.000506
совет 0.001375 0.000572
совместный 0.000687 0.000264
программа 0.004811 5.1e-05
аспирантура 0.001375 3e-05
наука 0.002749 2.9e-05
инновация 0.000687 0.000344
исследование 0.000687 2.2e-05
охватывать 0.000687 0.000522
широкий 0.000687 0.000407
теоретический 0.000687 0.000476
экспериментальный 0.000687 0.000119
энергетика 0.000687 0.000309
биомедицина 0.000687 0.000344
химия 0.000687 0.000344
прикладной 0.000687 0.000264
поддержка 0.003436 0.000469
ряд 0.000687 0.000434
государственный 0.000687 7.7e-05
частный 0.000687 0.000522
инвестиционный 0.000687 0.000506
фонд 0.002062 0.000698
позволять 0.001375 0.000688
наш 0.002062 0.00055
день 0.000687 0.000193
вести 0.000687 0.000448
разработка 0.000687 0.000213
передний 0.000687 0.000522
край 0.000687 0.000491
сделать 0.000687 0.00042
совершенный 0.000687 0.000522
удобный 0.000687 0.000491
безопасный 0.000687 0.000491
лаборатория 0.000687 0.000264
коллективный 0.000687 0.000275
пользование 0.000687 0.000275
сопровождение 0.000687 0.000128
визит 0.000687 0.000394
профессор 0.002062 0.001031
проект 0.006186 0.000133
5 0.002062 0.000579
100 0.000687 0.000297
грант 0.000687 6.1e-05
конкурс 0.002062 0.000183
фип 0.000687 0.000522
тренинг 0.000687 0.000356
предпринимательский 0.000687 0.000522
компетенция 0.000687 2.2e-05
отдел 0.002062 4.4e-05
интеллектуальный 0.001375 0.000171
собственность 0.000687 0.000491
научно 0.002062 0.000282
журнал 0.000687 5.3e-05
база 0.002062 0.000761
стать 0.001375 0.000664
результат 0.000687 0.00032
всероссийский 0.000687 0.000368
популярный 0.000687 0.000476
журналистика 0.000687 3.8e-05
импульс 0.000687 0.000506
экспертный 0.000687 0.000491
консультационный 0.000687 0.000506
вопрос 0.002749 0.001057
внедрение 0.000687 0.000476
публикационный 0.000687 0.000407
активность 0.000687 0.000394
новость 0.002749 0.000548
заказать 0.002062 0.009368
пропуск 0.004811 0.014115
встреча 0.004124 0.003735
интервью 0.003436 0.007373
