word tf tf_idf
дополнительный 0.013239 0.006392
образование\образование 0.000473 0.002148
казанский 0.002364 0.002336
приволжский 0.000946 0.001049
федеральный 0.002837 0.002027
университет 0.006147 6.6e-05
институт 0.022695 0.000488
геология 0.001418 0.001143
нефтегазовый 0.000946 0.000962
технология 0.004728 0.001131
фундаментальный 0.000946 0.000164
медицина 0.002837 0.002027
биология 0.001418 0.00076
экология 0.001418 0.000983
природопользование 0.000946 0.000908
химический 0.000946 0.000473
а 0.000946 0.000457
м 0.000946 0.000636
бутлеров 0.000946 0.00099
междисциплинарный 0.000473 9.4e-05
центр 0.022222 0.000478
аналитический 0.000473 0.000454
микроскопия 0.000473 0.000495
научно 0.00331 0.000452
образовательный 0.009929 0.000106
фармацевтика 0.000473 0.000481
юридический 0.000946 0.000597
факультет 0.002364 0.001267
международный 0.006147 0.002081
отношение 0.004728 0.002709
филология 0.002837 0.002285
межкультурный 0.002837 0.002885
коммуникация 0.004255 0.002129
лев 0.000473 0.000509
толстой 0.000473 0.000524
психология 0.002837 0.001907
образование 0.017967 0.000192
социально 0.002364 0.002269
философский 0.001418 0.000983
наука 0.00331 3.5e-05
массовый 0.001418 0.000895
высокий 0.005201 0.001387
школа 0.003783 4e-05
журналистика 0.000473 2.6e-05
медиакоммуникация 0.000473 0.000509
управление 0.00331 3.5e-05
экономика 0.002364 0.001224
финансы 0.001891 0.001524
государственный 0.001891 0.000213
муниципальный 0.000946 0.000962
бизнес 0.000946 0.000425
общеуниверситетский 0.000473 0.000495
кафедра 0.000473 2.6e-05
физический 0.000473 0.000197
воспитание 0.000473 0.000441
спорт 0.000473 0.000308
физика 0.001891 8.2e-05
информационный 0.001418 0.00059
интеллектуальный 0.000946 0.000118
система 0.000946 1e-05
вычислительный 0.000473 0.000308
математика 0.000946 4.1e-05
механика 0.000473 0.000253
н 0.001418 0.00071
и 0.001418 0.00084
лобачевский 0.001418 0.001442
инженерный 0.000946 0.000457
повышение 0.004255 0.000378
квалификация 0.006147 0.000765
подготовительный 0.000473 0.000428
иностранный 0.002837 9.2e-05
учиться 0.000473 0.000359
непрерывный 0.001891 0.002038
it 0.001418 4.6e-05
лицей 0.000946 0.000808
интернат 0.000473 0.000509
кфу 0.011348 0.01154
имя 0.000473 0.000289
набережночелнинский 0.000473 0.000495
елабужский 0.000473 0.000495
вход 0.000946 3.1e-05
сайт 0.000946 2e-05
ректор 0.000473 0.000146
студент 0.002364 0.000156
абитуриент 0.000946 6.2e-05
сотрудник 0.000946 0.000189
выпускник 0.000946 7.3e-05
карьера 0.000473 0.000318
музей 0.000946 0.000697
библиотека 0.000946 0.000524
газета 0.000946 0.000908
univer 0.000473 0.000481
tv 0.000473 0.000481
darelfonyn 0.000473 0.000509
english 0.000946 0.000676
español 0.000473 0.000509
中文 0.000473 0.000328
о 0.001418 0.000211
миссия 0.000473 0.000509
структура 0.000473 0.000308
документ 0.003783 0.002388
безопасность 0.000473 2.1e-05
история 0.000473 3.7e-05
стратегия 0.000473 0.000328
развитие 0.002364 0.000103
цифра 0.000473 0.000381
факт 0.000473 0.000392
отчёт 0.000473 0.000359
интернет 0.000473 0.000298
приёмный 0.000473 3.7e-05
закупка 0.000473 0.000454
достижение 0.000473 2.6e-05
карта 0.000946 8.4e-05
объект 0.000946 0.00074
телефонный 0.000946 0.000808
справочник 0.001418 0.000265
обучаться 0.000946 0.000636
корпоративный 0.000946 3.1e-05
компетенция 0.001891 6.1e-05
раскрытие 0.000473 0.000481
информация 0.000946 2e-05
минюст 0.000473 0.000495
россия 0.000946 5.2e-05
рассмотрение 0.000473 0.000454
обращение 0.000473 8.8e-05
гражданин 0.001891 6.1e-05
организация 0.001418 0.000177
национальный 0.000946 0.000152
проект 0.002364 5.1e-05
основной 0.000473 0.000189
подразделение 0.002837 9.2e-05
филиал 0.000473 0.000318
нормативный 0.001418 0.001285
правовой 0.000946 0.000785
обеспечение 0.001418 0.001109
деятельность 0.005201 0.000402
дистанционный 0.001418 3.1e-05
обучение 0.005201 5.6e-05
список 0.000473 0.000289
кандидатский 0.000473 0.000467
диссертация 0.000473 0.00037
аспирант 0.000473 4.2e-05
предполагать 0.000473 0.000481
научный 0.003783 8.1e-05
руководитель 0.015603 0.01257
электронный 0.001418 0.00059
контингент 0.000473 0.000467
