word tf tf_idf
инженерный 0.014766 0.00713
институт 0.025431 0.000547
казанский 0.004102 0.004052
приволжский 0.00082 0.00091
федеральный 0.004922 0.003518
университет 0.013126 0.00014
геология 0.001641 0.001322
нефтегазовый 0.00082 0.000834
технология 0.004922 0.001178
фундаментальный 0.002461 0.000428
медицина 0.004102 0.002931
биология 0.001641 0.000879
экология 0.00082 0.000569
природопользование 0.00082 0.000787
химический 0.001641 0.000821
а 0.00082 0.000396
м 0.00082 0.000551
бутлеров 0.00082 0.000859
междисциплинарный 0.00082 0.000164
центр 0.010664 0.000229
аналитический 0.00082 0.000787
микроскопия 0.00082 0.000859
научно 0.006563 0.000896
образовательный 0.006563 7e-05
фармацевтика 0.00082 0.000834
юридический 0.00082 0.000518
факультет 0.003281 0.001759
международный 0.004102 0.001389
отношение 0.00082 0.00047
филология 0.00082 0.000661
межкультурный 0.00082 0.000834
коммуникация 0.001641 0.000821
лев 0.00082 0.000884
толстой 0.00082 0.00091
психология 0.00082 0.000551
образование 0.013946 0.000149
социально 0.001641 0.001575
философский 0.00082 0.000569
наука 0.009844 0.000105
массовый 0.00082 0.000518
высокий 0.008203 0.002187
школа 0.005742 6.1e-05
журналистика 0.00082 4.5e-05
медиакоммуникация 0.00082 0.000884
управление 0.002461 2.6e-05
экономика 0.00082 0.000425
финансы 0.00082 0.000661
государственный 0.001641 0.000185
муниципальный 0.00082 0.000834
бизнес 0.001641 0.000737
общеуниверситетский 0.00082 0.000859
кафедра 0.00082 4.5e-05
физический 0.00082 0.000341
воспитание 0.00082 0.000765
спорт 0.00082 0.000534
физика 0.001641 7.1e-05
информационный 0.001641 0.000683
интеллектуальный 0.00082 0.000102
система 0.00082 9e-06
вычислительный 0.00082 0.000534
математика 0.001641 7.1e-05
механика 0.00082 0.00044
н 0.002461 0.001231
и 0.002461 0.001457
лобачевский 0.002461 0.002503
повышение 0.001641 0.000146
квалификация 0.001641 0.000204
подготовительный 0.00082 0.000743
иностранный 0.004922 0.00016
учиться 0.001641 0.001245
непрерывный 0.00082 0.000884
it 0.00082 2.7e-05
лицей 0.001641 0.001402
интернат 0.00082 0.000884
кфу 0.015587 0.01585
имя 0.00082 0.000502
набережночелнинский 0.00082 0.000859
елабужский 0.00082 0.000859
вход 0.001641 5.3e-05
сайт 0.003281 7.1e-05
ректор 0.00082 0.000254
студент 0.009024 0.000595
абитуриент 0.003281 0.000216
сотрудник 0.003281 0.000655
выпускник 0.001641 0.000127
карьера 0.00082 0.000551
музей 0.001641 0.001209
библиотека 0.001641 0.000909
