word tf tf_idf
вакансии\университет 0.000675 0.003068
общество 0.002701 0.00199
казанский 0.004051 0.004002
приволжский 0.000675 0.000749
федеральный 0.004051 0.002895
университет 0.009453 0.000101
институт 0.043214 0.000929
геология 0.002701 0.002176
нефтегазовый 0.00135 0.001373
технология 0.007427 0.001777
фундаментальный 0.00135 0.000235
медицина 0.004727 0.003378
биология 0.002026 0.001086
экология 0.002026 0.001404
природопользование 0.00135 0.001296
химический 0.002701 0.001351
а 0.002026 0.000978
м 0.00135 0.000908
бутлеров 0.00135 0.001414
междисциплинарный 0.000675 0.000135
центр 0.011479 0.000247
аналитический 0.000675 0.000648
микроскопия 0.000675 0.000707
научно 0.004727 0.000646
образовательный 0.00135 1.4e-05
фармацевтика 0.00135 0.001373
юридический 0.004051 0.002557
факультет 0.007427 0.003981
международный 0.005402 0.001829
отношение 0.004051 0.002321
филология 0.004051 0.003264
межкультурный 0.003376 0.003433
коммуникация 0.006077 0.00304
лев 0.00135 0.001455
толстой 0.00135 0.001498
психология 0.003376 0.002269
образование 0.008103 8.7e-05
социально 0.004727 0.004536
философский 0.002701 0.001872
наука 0.008778 9.4e-05
массовый 0.002701 0.001705
высокий 0.009453 0.00252
школа 0.008778 9.4e-05
журналистика 0.00135 7.4e-05
медиакоммуникация 0.00135 0.001455
управление 0.012154 0.00013
экономика 0.006752 0.003497
финансы 0.007427 0.005984
государственный 0.004051 0.000456
муниципальный 0.000675 0.000687
бизнес 0.00135 0.000606
общеуниверситетский 0.000675 0.000707
кафедра 0.000675 3.7e-05
физический 0.002026 0.000843
воспитание 0.000675 0.00063
спорт 0.002026 0.00132
физика 0.002701 0.000117
информационный 0.005402 0.002248
интеллектуальный 0.00135 0.000168
система 0.002026 2.2e-05
вычислительный 0.00135 0.00088
математика 0.003376 0.000147
механика 0.00135 0.000724
н 0.003376 0.001689
и 0.004051 0.002399
лобачевский 0.002701 0.002747
инженерный 0.003376 0.00163
повышение 0.000675 6e-05
квалификация 0.00135 0.000168
подготовительный 0.00135 0.001223
иностранный 0.006077 0.000197
учиться 0.00135 0.001025
непрерывный 0.000675 0.000728
it 0.000675 2.2e-05
лицей 0.00135 0.001154
интернат 0.000675 0.000728
кфу 0.043889 0.044632
имя 0.000675 0.000413
набережночелнинский 0.005402 0.005654
елабужский 0.006077 0.006361
вход 0.00135 4.4e-05
сайт 0.00135 2.9e-05
ректор 0.000675 0.000209
студент 0.003376 0.000223
абитуриент 0.00135 8.9e-05
сотрудник 0.00135 0.000269
выпускник 0.00135 0.000105
карьера 0.000675 0.000454
музей 0.00135 0.000995
библиотека 0.00135 0.000749
газета 0.00135 0.001296
univer 0.000675 0.000687
tv 0.000675 0.000687
darelfonyn 0.000675 0.000728
english 0.000675 0.000483
español 0.000675 0.000728
中文 0.000675 0.000468
о 0.002026 0.000302
миссия 0.000675 0.000728
структура 0.000675 0.00044
документ 0.002026 0.001279
безопасность 0.00135 5.9e-05
история 0.002026 0.000157
стратегия 0.000675 0.000468
развитие 0.003376 0.000147
цифра 0.000675 0.000544
факт 0.000675 0.00056
отчёт 0.000675 0.000513
интернет 0.00135 0.000852
приёмный 0.000675 5.2e-05
закупка 0.003376 0.00324
достижение 0.000675 3.7e-05
карта 0.00135 0.00012
объект 0.00135 0.001056
телефонный 0.00135 0.001154
справочник 0.00135 0.000252
обучаться 0.00135 0.000908
корпоративный 0.000675 2.2e-05
компетенция 0.000675 2.2e-05
раскрытие 0.000675 0.000687
информация 0.002026 4.4e-05
минюст 0.000675 0.000707
россия 0.003376 0.000185
рассмотрение 0.000675 0.000648
обращение 0.000675 0.000126
гражданин 0.002701 8.8e-05
организация 0.002026 0.000252
национальный 0.002701 0.000436
проект 0.004051 8.7e-05
основной 0.000675 0.00027
подразделение 0.002026 6.6e-05
филиал 0.013504 0.009076
нормативный 0.00135 0.001223
правовой 0.000675 0.00056
обеспечение 0.002701 0.002112
деятельность 0.003376 0.000261
дистанционный 0.002026 4.4e-05
обучение 0.004727 5.1e-05
список 0.000675 0.000413
кандидатский 0.000675 0.000667
диссертация 0.000675 0.000528
аспирант 0.000675 6e-05
предполагать 0.000675 0.000687
научный 0.005402 0.000116
руководитель 0.000675 0.000544
электронный 0.002026 0.000843
контингент 0.000675 0.000667
вакантный 0.000675 0.000687
место 0.000675 7e-06
стипендия 0.000675 0.000468
расписание 0.000675 0.000577
журнал 0.000675 5.2e-05
успеваемость 0.000675 0.000687
независимый 0.000675 0.000667
оценка 0.000675 0.000413
качество 0.000675 0.000338
практика 0.00135 0.000699
вакансия 0.006077 0.001212
работодатель 0.000675 0.000513
стажировка 0.002026 0.001404
рубеж 0.00135 0.001259
дополнительный 0.00135 0.000652
довузовский 0.000675 0.00063
олимпиада 0.000675 4.5e-05
ассоциация 0.00135 0.001373
глобальный 0.000675 0.000497
магистратура 0.00135 8.9e-05
исследовательский 0.002026 0.000277
инновационный 0.00135 0.000749
аспирантура 0.00135 2.9e-05
докторантура 0.000675 0.000707
отдел 0.00135 2.9e-05
аттестация 0.000675 0.000497
педагогический 0.000675 0.000362
кадр 0.000675 0.000109
патентный 0.000675 0.000667
лицензионный 0.000675 0.000687
издание 0.000675 0.000497
конференция 0.000675 5.2e-05
молодой 0.000675 0.00035
учёный 0.00135 7.4e-05
специалист 0.000675 0.000426
работа 0.004727 0.000206
нирс 0.000675 0.000707
мировой 0.00135 0.000965
уровень 0.000675 0.000413
регуляторный 0.000675 0.000707
геномик 0.000675 0.000707
полигон 0.000675 0.000528
карбон 0.000675 0.000707
поволжье 0.000675 0.000707
конкурс 0.000675 6e-05
грант 0.000675 6e-05
цкп 0.000675 0.000667
уна 0.000675 0.000707
крупный 0.000675 0.000544
здравоохранение 0.002026 0.002001
мера 0.000675 0.000126
предупреждение 0.000675 0.000687
коронавирус 0.000675 6.8e-05
исследование 0.000675 2.2e-05
университетский 0.000675 0.000497
клиника 0.000675 0.000687
ординатура 0.000675 0.000667
клинический 0.00135 0.001334
прецизионный 0.000675 0.000707
регенеративный 0.000675 0.000667
профилактический 0.00135 0.001373
симуляционный 0.000675 0.000707
аккредитационный 0.000675 0.000707
экспериментальный 0.000675 0.000117
стоматологический 0.000675 0.000707
фантомный 0.000675 0.000707
класс 0.000675 0.000209
инжиниринговый 0.000675 0.000648
медицинский 0.00135 0.000774
симулятор 0.000675 0.000667
департамент 0.000675 0.000135
внешний 0.000675 0.000594
связь 0.002026 0.000656
сотрудничество 0.000675 0.000292
приглашение 0.000675 0.000707
миграционный 0.000675 0.000648
сопровождение 0.000675 0.000126
признание 0.000675 0.000687
адаптация 0.000675 0.000544
шаблон 0.000675 0.000728
студенческий 0.000675 0.000513
кружок 0.000675 0.000749
полимирие 0.000675 0.000749
календарь 0.000675 0.000468
событие 0.000675 0.000362
