word tf tf_idf
сотрудник 0.005452 0.001088
кфу\об 0.000779 0.002459
университет 0.011682 0.000125
казанский 0.003894 0.003847
приволжский 0.001558 0.001728
федеральный 0.003115 0.002226
институт 0.028816 0.00062
геология 0.002336 0.001882
нефтегазовый 0.001558 0.001584
технология 0.007788 0.001863
фундаментальный 0.001558 0.000271
медицина 0.005452 0.003896
биология 0.002336 0.001252
экология 0.001558 0.00108
природопользование 0.001558 0.001495
химический 0.001558 0.000779
а 0.002336 0.001128
м 0.002336 0.00157
бутлеров 0.001558 0.001631
междисциплинарный 0.001558 0.000311
центр 0.01947 0.000419
аналитический 0.001558 0.001495
микроскопия 0.001558 0.001631
научно 0.007788 0.001064
образовательный 0.002336 2.5e-05
фармацевтика 0.001558 0.001584
юридический 0.003115 0.001967
факультет 0.004673 0.002504
международный 0.003894 0.001319
отношение 0.001558 0.000893
филология 0.002336 0.001882
межкультурный 0.001558 0.001584
коммуникация 0.003115 0.001558
лев 0.000779 0.000839
толстой 0.000779 0.000864
психология 0.002336 0.00157
образование 0.009346 0.0001
социально 0.004673 0.004485
философский 0.001558 0.00108
наука 0.007009 7.5e-05
массовый 0.002336 0.001475
высокий 0.007009 0.001869
школа 0.010125 0.000108
журналистика 0.000779 4.3e-05
медиакоммуникация 0.001558 0.001678
управление 0.010125 0.000108
экономика 0.003894 0.002017
финансы 0.002336 0.001882
государственный 0.001558 0.000175
муниципальный 0.001558 0.001584
бизнес 0.001558 0.000699
общеуниверситетский 0.001558 0.001631
кафедра 0.008567 0.000468
физический 0.002336 0.000972
воспитание 0.003115 0.002905
спорт 0.002336 0.001522
физика 0.002336 0.000102
информационный 0.005452 0.002269
интеллектуальный 0.001558 0.000194
система 0.002336 2.5e-05
вычислительный 0.001558 0.001015
математика 0.003894 0.000169
механика 0.002336 0.001252
н 0.005452 0.002727
и 0.005452 0.003228
лобачевский 0.004673 0.004752
инженерный 0.004673 0.002256
повышение 0.000779 6.9e-05
квалификация 0.000779 9.7e-05
подготовительный 0.002336 0.002116
иностранный 0.007009 0.000227
учиться 0.001558 0.001182
непрерывный 0.000779 0.000839
it 0.001558 5.1e-05
лицей 0.003115 0.002662
интернат 0.002336 0.002518
кфу 0.02648 0.026928
имя 0.001558 0.000952
набережночелнинский 0.001558 0.001631
елабужский 0.002336 0.002446
вход 0.001558 5.1e-05
сайт 0.001558 3.3e-05
ректор 0.001558 0.000482
студент 0.003115 0.000205
абитуриент 0.002336 0.000154
выпускник 0.001558 0.000121
карьера 0.000779 0.000523
музей 0.002336 0.001721
библиотека 0.004673 0.00259
газета 0.001558 0.001495
univer 0.001558 0.001584
tv 0.000779 0.000792
darelfonyn 0.000779 0.000839
english 0.000779 0.000557
español 0.000779 0.000839
中文 0.000779 0.00054
о 0.003894 0.00058
миссия 0.000779 0.000839
структура 0.000779 0.000507
документ 0.002336 0.001475
безопасность 0.003115 0.000135
история 0.001558 0.000121
стратегия 0.000779 0.00054
развитие 0.004673 0.000203
цифра 0.000779 0.000627
факт 0.000779 0.000646
отчёт 0.000779 0.000591
интернет 0.000779 0.000492
приёмный 0.001558 0.000121
закупка 0.001558 0.001495
достижение 0.000779 4.3e-05
карта 0.001558 0.000139
объект 0.002336 0.001827
телефонный 0.001558 0.001331
справочник 0.001558 0.000291
обучаться 0.002336 0.00157
корпоративный 0.000779 2.5e-05
компетенция 0.000779 2.5e-05
раскрытие 0.000779 0.000792
информация 0.002336 5e-05
минюст 0.000779 0.000815
россия 0.001558 8.5e-05
рассмотрение 0.000779 0.000747
обращение 0.000779 0.000145
гражданин 0.003115 0.000101
организация 0.002336 0.000291
национальный 0.001558 0.000251
проект 0.003894 8.4e-05
основной 0.000779 0.000312
подразделение 0.003115 0.000101
филиал 0.003894 0.002617
нормативный 0.001558 0.001411
правовой 0.002336 0.001939
обеспечение 0.003115 0.002436
деятельность 0.007009 0.000542
дистанционный 0.001558 3.3e-05
обучение 0.004673 5e-05
список 0.000779 0.000476
кандидатский 0.000779 0.000769
диссертация 0.000779 0.000609
аспирант 0.000779 6.9e-05
предполагать 0.000779 0.000792
научный 0.009346 0.000201
руководитель 0.000779 0.000627
электронный 0.001558 0.000648
контингент 0.000779 0.000769
вакантный 0.000779 0.000792
место 0.000779 8e-06
стипендия 0.000779 0.00054
расписание 0.000779 0.000665
журнал 0.002336 0.000181
успеваемость 0.000779 0.000792
независимый 0.000779 0.000769
оценка 0.000779 0.000476
качество 0.001558 0.000779
практика 0.000779 0.000403
вакансия 0.001558 0.000311
работодатель 0.000779 0.000591
стажировка 0.001558 0.00108
рубеж 0.001558 0.001452
