word tf tf_idf
сотрудник 0.004326 0.000863
кфу\об 0.000721 0.002276
университет 0.010815 0.000116
казанский 0.003605 0.003561
приволжский 0.001442 0.0016
федеральный 0.002884 0.002061
институт 0.026676 0.000574
геология 0.002163 0.001743
нефтегазовый 0.001442 0.001466
технология 0.00721 0.001725
фундаментальный 0.001442 0.000251
медицина 0.005047 0.003607
биология 0.002163 0.001159
экология 0.001442 0.000999
природопользование 0.001442 0.001384
химический 0.001442 0.000721
а 0.002163 0.001044
м 0.002163 0.001454
бутлеров 0.001442 0.001509
междисциплинарный 0.001442 0.000288
центр 0.018025 0.000388
аналитический 0.001442 0.001384
микроскопия 0.001442 0.001509
научно 0.00721 0.000985
образовательный 0.002163 2.3e-05
фармацевтика 0.001442 0.001466
юридический 0.009373 0.005917
факультет 0.004326 0.002319
международный 0.003605 0.001221
отношение 0.001442 0.000826
филология 0.002163 0.001743
межкультурный 0.001442 0.001466
коммуникация 0.002884 0.001443
лев 0.000721 0.000777
толстой 0.000721 0.0008
психология 0.002163 0.001454
образование 0.008652 9.3e-05
социально 0.004326 0.004152
философский 0.001442 0.000999
наука 0.006489 6.9e-05
массовый 0.002163 0.001365
высокий 0.006489 0.00173
школа 0.009373 0.0001
журналистика 0.000721 3.9e-05
медиакоммуникация 0.001442 0.001554
управление 0.019466 0.000208
экономика 0.003605 0.001867
финансы 0.002163 0.001743
государственный 0.001442 0.000162
муниципальный 0.001442 0.001466
бизнес 0.001442 0.000647
общеуниверситетский 0.001442 0.001509
кафедра 0.007931 0.000433
физический 0.002163 0.0009
воспитание 0.002884 0.002689
спорт 0.002163 0.001409
физика 0.002163 9.4e-05
информационный 0.005047 0.0021
интеллектуальный 0.001442 0.000179
система 0.002163 2.3e-05
вычислительный 0.001442 0.000939
математика 0.003605 0.000157
механика 0.002163 0.001159
н 0.005047 0.002525
и 0.005047 0.002988
лобачевский 0.004326 0.004399
инженерный 0.004326 0.002089
повышение 0.000721 6.4e-05
квалификация 0.000721 9e-05
подготовительный 0.002163 0.001959
иностранный 0.006489 0.00021
учиться 0.001442 0.001095
непрерывный 0.000721 0.000777
it 0.001442 4.7e-05
лицей 0.002884 0.002464
интернат 0.002163 0.002331
кфу 0.034607 0.035193
имя 0.001442 0.000882
набережночелнинский 0.001442 0.001509
елабужский 0.002163 0.002264
вход 0.001442 4.7e-05
сайт 0.001442 3.1e-05
ректор 0.001442 0.000446
студент 0.002884 0.00019
абитуриент 0.002163 0.000143
выпускник 0.001442 0.000112
карьера 0.000721 0.000485
музей 0.002163 0.001593
библиотека 0.004326 0.002398
газета 0.001442 0.001384
univer 0.001442 0.001466
tv 0.000721 0.000733
darelfonyn 0.000721 0.000777
english 0.000721 0.000515
español 0.000721 0.000777
中文 0.000721 0.0005
о 0.003605 0.000537
миссия 0.000721 0.000777
структура 0.000721 0.00047
документ 0.002163 0.001365
безопасность 0.002884 0.000125
история 0.001442 0.000112
стратегия 0.000721 0.0005
развитие 0.004326 0.000188
цифра 0.000721 0.000581
факт 0.000721 0.000598
отчёт 0.000721 0.000547
интернет 0.000721 0.000455
приёмный 0.001442 0.000112
закупка 0.001442 0.001384
достижение 0.000721 3.9e-05
карта 0.001442 0.000128
объект 0.002163 0.001692
телефонный 0.001442 0.001232
справочник 0.001442 0.000269
обучаться 0.002163 0.001454
корпоративный 0.000721 2.3e-05
компетенция 0.000721 2.3e-05
раскрытие 0.000721 0.000733
информация 0.002163 4.7e-05
минюст 0.000721 0.000755
россия 0.001442 7.9e-05
рассмотрение 0.000721 0.000692
обращение 0.000721 0.000135
гражданин 0.002884 9.4e-05
организация 0.002163 0.000269
национальный 0.001442 0.000233
проект 0.003605 7.8e-05
основной 0.000721 0.000289
подразделение 0.002163 7e-05
филиал 0.003605 0.002423
нормативный 0.001442 0.001306
правовой 0.012257 0.01017
обеспечение 0.002884 0.002256
деятельность 0.006489 0.000502
дистанционный 0.001442 3.1e-05
обучение 0.004326 4.6e-05
список 0.000721 0.000441
кандидатский 0.000721 0.000712
диссертация 0.000721 0.000564
аспирант 0.000721 6.4e-05
предполагать 0.000721 0.000733
научный 0.008652 0.000186
руководитель 0.000721 0.000581
электронный 0.001442 0.0006
контингент 0.000721 0.000712
вакантный 0.000721 0.000733
место 0.000721 8e-06
стипендия 0.000721 0.0005
расписание 0.000721 0.000616
журнал 0.002163 0.000167
успеваемость 0.000721 0.000733
независимый 0.000721 0.000712
оценка 0.000721 0.000441
качество 0.001442 0.000721
практика 0.000721 0.000373
вакансия 0.001442 0.000288
работодатель 0.000721 0.000547
стажировка 0.001442 0.000999
рубеж 0.001442 0.001344
дополнительный 0.002884 0.001393
довузовский 0.000721 0.000672
олимпиада 0.000721 4.8e-05
ассоциация 0.000721 0.000733
глобальный 0.000721 0.000531
магистратура 0.000721 4.8e-05
исследовательский 0.002884 0.000394
инновационный 0.002884 0.001599
аспирантура 0.001442 3.1e-05
докторантура 0.000721 0.000755
отдел 0.034607 0.000744
аттестация 0.000721 0.000531
педагогический 0.001442 0.000773
кадр 0.003605 0.000581
патентный 0.000721 0.000712
лицензионный 0.000721 0.000733
издание 0.000721 0.000531
