word tf tf_idf
институт 0.024087 0.000518
психология 0.01554 0.010444
образование 0.02331 0.000249
казанский 0.003885 0.003838
приволжский 0.000777 0.000862
федеральный 0.003108 0.002221
университет 0.010878 0.000116
геология 0.001554 0.001252
нефтегазовый 0.000777 0.00079
технология 0.005439 0.001301
фундаментальный 0.000777 0.000135
медицина 0.003885 0.002776
биология 0.001554 0.000833
экология 0.000777 0.000539
природопользование 0.000777 0.000746
химический 0.000777 0.000389
а 0.000777 0.000375
м 0.001554 0.001044
бутлеров 0.000777 0.000813
междисциплинарный 0.000777 0.000155
центр 0.010101 0.000217
аналитический 0.000777 0.000746
микроскопия 0.000777 0.000813
научно 0.010101 0.00138
образовательный 0.003108 3.3e-05
фармацевтика 0.000777 0.00079
юридический 0.000777 0.00049
факультет 0.003108 0.001666
международный 0.009324 0.003157
отношение 0.000777 0.000445
филология 0.000777 0.000626
межкультурный 0.000777 0.00079
коммуникация 0.002331 0.001166
лев 0.000777 0.000837
толстой 0.000777 0.000862
социально 0.001554 0.001491
философский 0.000777 0.000539
наука 0.005439 5.8e-05
массовый 0.000777 0.00049
высокий 0.003885 0.001036
школа 0.005439 5.8e-05
журналистика 0.000777 4.2e-05
медиакоммуникация 0.000777 0.000837
управление 0.002331 2.5e-05
экономика 0.000777 0.000402
финансы 0.000777 0.000626
государственный 0.000777 8.7e-05
муниципальный 0.000777 0.00079
бизнес 0.000777 0.000349
общеуниверситетский 0.000777 0.000813
кафедра 0.003108 0.00017
физический 0.000777 0.000323
воспитание 0.000777 0.000724
спорт 0.000777 0.000506
физика 0.001554 6.8e-05
информационный 0.001554 0.000647
интеллектуальный 0.000777 9.7e-05
система 0.000777 8e-06
вычислительный 0.000777 0.000506
математика 0.001554 6.8e-05
механика 0.000777 0.000416
н 0.002331 0.001166
и 0.002331 0.00138
лобачевский 0.002331 0.00237
инженерный 0.000777 0.000375
повышение 0.000777 6.9e-05
квалификация 0.000777 9.7e-05
подготовительный 0.000777 0.000704
иностранный 0.004662 0.000151
учиться 0.000777 0.00059
непрерывный 0.000777 0.000837
it 0.000777 2.5e-05
лицей 0.001554 0.001328
интернат 0.000777 0.000837
