word tf tf_idf
здравоохранение\университет 0.000758 0.003442
общество 0.002273 0.001674
казанский 0.007576 0.007484
приволжский 0.000758 0.00084
федеральный 0.004545 0.003248
университет 0.015909 0.00017
институт 0.021212 0.000456
геология 0.001515 0.001221
нефтегазовый 0.000758 0.00077
технология 0.004545 0.001087
фундаментальный 0.003788 0.000659
медицина 0.015152 0.010828
биология 0.008333 0.004466
экология 0.000758 0.000525
природопользование 0.000758 0.000727
химический 0.000758 0.000379
а 0.000758 0.000366
м 0.000758 0.000509
бутлеров 0.000758 0.000793
междисциплинарный 0.001515 0.000302
центр 0.020455 0.00044
аналитический 0.000758 0.000727
микроскопия 0.000758 0.000793
научно 0.010606 0.001449
образовательный 0.005303 5.7e-05
фармацевтика 0.000758 0.00077
юридический 0.000758 0.000478
факультет 0.00303 0.001624
международный 0.00303 0.001026
отношение 0.000758 0.000434
филология 0.000758 0.00061
межкультурный 0.000758 0.00077
коммуникация 0.001515 0.000758
лев 0.000758 0.000816
толстой 0.000758 0.00084
психология 0.000758 0.000509
образование 0.009091 9.7e-05
социально 0.001515 0.001454
философский 0.000758 0.000525
наука 0.009091 9.7e-05
массовый 0.000758 0.000478
высокий 0.007576 0.00202
школа 0.008333 8.9e-05
журналистика 0.000758 4.1e-05
медиакоммуникация 0.000758 0.000816
управление 0.002273 2.4e-05
экономика 0.000758 0.000392
финансы 0.000758 0.00061
государственный 0.000758 8.5e-05
муниципальный 0.000758 0.00077
бизнес 0.000758 0.00034
общеуниверситетский 0.000758 0.000793
кафедра 0.001515 8.3e-05
физический 0.000758 0.000315
воспитание 0.000758 0.000706
спорт 0.000758 0.000494
физика 0.001515 6.6e-05
информационный 0.001515 0.000631
интеллектуальный 0.000758 9.4e-05
система 0.000758 8e-06
вычислительный 0.000758 0.000494
математика 0.001515 6.6e-05
механика 0.000758 0.000406
н 0.00303 0.001516
и 0.00303 0.001794
лобачевский 0.002273 0.002311
инженерный 0.000758 0.000366
повышение 0.001515 0.000135
квалификация 0.001515 0.000189
подготовительный 0.000758 0.000686
иностранный 0.004545 0.000147
учиться 0.000758 0.000575
непрерывный 0.000758 0.000816
it 0.000758 2.5e-05
лицей 0.001515 0.001295
интернат 0.000758 0.000816
кфу 0.021212 0.021571
имя 0.000758 0.000463
набережночелнинский 0.000758 0.000793
елабужский 0.000758 0.000793
вход 0.001515 4.9e-05
сайт 0.001515 3.3e-05
ректор 0.000758 0.000234
студент 0.00303 0.0002
абитуриент 0.001515 0.0001
сотрудник 0.001515 0.000302
выпускник 0.001515 0.000117
карьера 0.000758 0.000509
музей 0.001515 0.001116
библиотека 0.001515 0.00084
газета 0.001515 0.001454
univer 0.001515 0.001541
tv 0.001515 0.001541
darelfonyn 0.000758 0.000816
english 0.000758 0.000541
español 0.000758 0.000816
中文 0.000758 0.000525
о 0.00303 0.000451
миссия 0.000758 0.000816
структура 0.001515 0.000987
документ 0.00303 0.001913
безопасность 0.000758 3.3e-05
история 0.001515 0.000117
стратегия 0.000758 0.000525
развитие 0.00303 0.000132
цифра 0.000758 0.00061
факт 0.000758 0.000629
отчёт 0.000758 0.000575
интернет 0.000758 0.000478
приёмный 0.000758 5.9e-05
закупка 0.000758 0.000727
достижение 0.000758 4.1e-05
карта 0.001515 0.000135
объект 0.001515 0.001185
телефонный 0.001515 0.001295
справочник 0.001515 0.000283
обучаться 0.001515 0.001018
корпоративный 0.000758 2.5e-05
компетенция 0.001515 4.9e-05
раскрытие 0.000758 0.00077
информация 0.001515 3.3e-05
минюст 0.000758 0.000793
россия 0.00303 0.000166
рассмотрение 0.000758 0.000727
обращение 0.000758 0.000141
гражданин 0.00303 9.8e-05
организация 0.00303 0.000377
национальный 0.001515 0.000244
проект 0.003788 8.1e-05
основной 0.001515 0.000606
подразделение 0.000758 2.5e-05
филиал 0.000758 0.000509
нормативный 0.001515 0.001372
правовой 0.000758 0.000629
обеспечение 0.000758 0.000592
деятельность 0.005303 0.00041
дистанционный 0.001515 3.3e-05
обучение 0.005303 5.7e-05
список 0.000758 0.000463
кандидатский 0.000758 0.000748
диссертация 0.000758 0.000592
аспирант 0.000758 6.7e-05
предполагать 0.001515 0.001541
научный 0.011364 0.000244
руководитель 0.000758 0.00061
электронный 0.001515 0.000631
контингент 0.000758 0.000748
вакантный 0.000758 0.00077
место 0.000758 8e-06
стипендия 0.000758 0.000525
расписание 0.000758 0.000647
журнал 0.000758 5.9e-05
успеваемость 0.000758 0.00077
независимый 0.000758 0.000748
оценка 0.000758 0.000463
качество 0.000758 0.000379
практика 0.003788 0.001962
вакансия 0.001515 0.000302
работодатель 0.000758 0.000575
стажировка 0.001515 0.00105
рубеж 0.001515 0.001413
дополнительный 0.00303 0.001463
довузовский 0.000758 0.000706
олимпиада 0.000758 5e-05
ассоциация 0.000758 0.00077
глобальный 0.000758 0.000558
магистратура 0.001515 0.0001
исследовательский 0.002273 0.00031
инновационный 0.001515 0.00084
аспирантура 0.005303 0.000114
докторантура 0.000758 0.000793
отдел 0.002273 4.9e-05
аттестация 0.000758 0.000558
педагогический 0.001515 0.000812
кадр 0.001515 0.000244
патентный 0.000758 0.000748
лицензионный 0.000758 0.00077
издание 0.000758 0.000558
конференция 0.000758 5.9e-05
молодой 0.000758 0.000392
учёный 0.001515 8.3e-05
специалист 0.003788 0.002391
работа 0.00303 0.000132
нирс 0.000758 0.000793
мировой 0.001515 0.001083
уровень 0.001515 0.000926
регуляторный 0.000758 0.000793
геномик 0.000758 0.000793
полигон 0.000758 0.000592
карбон 0.000758 0.000793
поволжье 0.000758 0.000793
конкурс 0.000758 6.7e-05
грант 0.000758 6.7e-05
цкп 0.000758 0.000748
уна 0.000758 0.000793
крупный 0.000758 0.00061
здравоохранение 0.007576 0.007484
мера 0.001515 0.000283
предупреждение 0.001515 0.001541
коронавирус 0.002273 0.000229
исследование 0.00303 9.8e-05
университетский 0.003788 0.00279
клиника 0.007576 0.007704
ординатура 0.00303 0.002994
клинический 0.008333 0.008233
прецизионный 0.001515 0.001586
регенеративный 0.001515 0.001497
профилактический 0.002273 0.002311
симуляционный 0.002273 0.002379
аккредитационный 0.002273 0.002379
экспериментальный 0.002273 0.000395
стоматологический 0.002273 0.002379
фантомный 0.002273 0.002379
класс 0.002273 0.000703
инжиниринговый 0.002273 0.002181
