word tf tf_idf
елабужский 0.012367 0.012946
институт 0.029152 0.000627
кфу 0.021201 0.02156
казанский 0.0053 0.005236
приволжский 0.001767 0.00196
федеральный 0.0053 0.003788
университет 0.011484 0.000123
геология 0.001767 0.001423
нефтегазовый 0.000883 0.000898
технология 0.003534 0.000845
фундаментальный 0.000883 0.000154
медицина 0.004417 0.003157
биология 0.001767 0.000947
экология 0.000883 0.000612
природопользование 0.000883 0.000848
химический 0.000883 0.000442
а 0.001767 0.000853
м 0.000883 0.000594
бутлеров 0.000883 0.000925
междисциплинарный 0.000883 0.000176
центр 0.010601 0.000228
аналитический 0.000883 0.000848
микроскопия 0.000883 0.000925
научно 0.008834 0.001206
образовательный 0.007951 8.5e-05
фармацевтика 0.000883 0.000898
юридический 0.000883 0.000558
факультет 0.004417 0.002367
международный 0.004417 0.001496
отношение 0.000883 0.000506
филология 0.001767 0.001423
межкультурный 0.000883 0.000898
коммуникация 0.001767 0.000884
лев 0.000883 0.000952
толстой 0.000883 0.00098
психология 0.001767 0.001187
образование 0.017668 0.000189
социально 0.00265 0.002544
философский 0.000883 0.000612
наука 0.007951 8.5e-05
массовый 0.000883 0.000558
высокий 0.0053 0.001413
школа 0.007067 7.6e-05
журналистика 0.000883 4.8e-05
медиакоммуникация 0.000883 0.000952
управление 0.00265 2.8e-05
экономика 0.000883 0.000458
финансы 0.000883 0.000712
государственный 0.000883 9.9e-05
муниципальный 0.000883 0.000898
бизнес 0.000883 0.000397
общеуниверситетский 0.000883 0.000925
кафедра 0.00265 0.000145
физический 0.000883 0.000368
воспитание 0.000883 0.000824
спорт 0.000883 0.000576
физика 0.001767 7.7e-05
информационный 0.001767 0.000735
интеллектуальный 0.000883 0.00011
система 0.000883 9e-06
вычислительный 0.000883 0.000576
математика 0.001767 7.7e-05
механика 0.000883 0.000473
н 0.00265 0.001326
и 0.00265 0.001569
лобачевский 0.00265 0.002695
инженерный 0.000883 0.000427
повышение 0.001767 0.000157
квалификация 0.001767 0.00022
подготовительный 0.000883 0.0008
иностранный 0.0053 0.000172
учиться 0.000883 0.000671
непрерывный 0.000883 0.000952
it 0.000883 2.9e-05
лицей 0.001767 0.00151
интернат 0.000883 0.000952
имя 0.00265 0.001621
набережночелнинский 0.000883 0.000925
вход 0.001767 5.7e-05
сайт 0.003534 7.6e-05
ректор 0.000883 0.000273
студент 0.004417 0.000291
абитуриент 0.00265 0.000175
сотрудник 0.001767 0.000352
выпускник 0.00265 0.000205
карьера 0.000883 0.000594
музей 0.001767 0.001301
библиотека 0.001767 0.000979
газета 0.001767 0.001696
univer 0.000883 0.000898
tv 0.000883 0.000898
darelfonyn 0.000883 0.000952
english 0.000883 0.000631
español 0.000883 0.000952
中文 0.000883 0.000612
о 0.00265 0.000394
миссия 0.000883 0.000952
структура 0.00265 0.001727
документ 0.00265 0.001673
безопасность 0.000883 3.8e-05
история 0.00265 0.000205
стратегия 0.000883 0.000612
развитие 0.00265 0.000115
цифра 0.000883 0.000712
факт 0.000883 0.000733
отчёт 0.000883 0.000671
интернет 0.000883 0.000558
приёмный 0.000883 6.8e-05
закупка 0.000883 0.000848
достижение 0.000883 4.8e-05
карта 0.001767 0.000157
объект 0.001767 0.001382
телефонный 0.001767 0.00151
справочник 0.001767 0.00033
обучаться 0.00265 0.001781
корпоративный 0.000883 2.9e-05
компетенция 0.001767 5.7e-05
раскрытие 0.000883 0.000898
информация 0.00265 5.7e-05
минюст 0.000883 0.000925
россия 0.00265 0.000145
рассмотрение 0.000883 0.000848
обращение 0.000883 0.000165
гражданин 0.003534 0.000115
организация 0.004417 0.00055
