word tf tf_idf
стипендия 0.009471 0.006564
сайт 0.002152 4.6e-05
тгу 0.025398 0.048364
ru 0.000861 0.0
en 0.00043 0.000215
cn 0.00043 0.00082
всё 0.001291 0.001103
новость 0.002583 0.000515
календарь 0.000861 0.000597
событие 0.002583 0.001384
медиа 0.001291 0.001999
проект 0.003444 7.4e-05
alma 0.001722 0.002945
mater 0.001722 0.002945
архив 0.001291 0.001818
информационный 0.001291 0.000537
материал 0.003013 0.00068
электронный 0.001722 0.000717
почта 0.00043 0.000146
office 0.00043 0.000852
ido 0.00043 0.000852
tsu 0.000861 0.001639
телефон 0.00043 0.000425
3822 0.000861 0.001703
78 0.00043 0.000736
56 0.00043 0.000645
53 0.00043 0.000645
главный 0.00043 1.9e-05
страницався 0.00043 0.000852
за 0.00043 0.000625
время 0.003013 0.002287
тема 0.000861 0.000983
наука 0.009901 0.000106
студент 0.007318 0.000483
образование 0.005596 6e-05
партнёр 0.002152 0.000896
международный 0.004735 0.001603
сотрудничество 0.003013 0.001303
сотрудник 0.002583 0.000515
университет 0.009471 0.000101
город 0.002152 0.003811
би 0.00043 0.00101
технология 0.00904 0.002163
достижение 0.000861 4.7e-05
деятельность 0.000861 6.7e-05
грант 0.001722 0.000153
культура 0.002583 0.002143
ректор 0.001722 0.000532
конференция 0.001722 0.000133
видео 0.000861 0.00125
здоровье 0.00043 0.000588
рфф 0.001722 0.003858
ггф 0.00043 0.000965
выпускник 0.001291 0.0001
год 0.006457 0.001205
филф 0.00043 0.001061
иэм 0.00043 0.00101
победа 0.002152 0.004618
экология 0.000861 0.000597
эксперт 0.000861 0.001472
публикация 0.00043 0.000231
конкурс 0.001291 0.000115
магистратура 0.000861 5.7e-05
сае 0.002583 0.00511
tssw 0.001291 0.002555
хф 0.00043 0.00101
умный 0.001291 0.002208
инновация 0.001722 0.000861
награда 0.000861 0.001472
виу 0.001291 0.003182
фф 0.00043 0.000924
иик 0.00043 0.001061
школьник 0.000861 0.000345
абитуриент 0.002152 0.000142
сиббс 0.00043 0.001061
институт 0.00904 0.000194
человек 0.002583 0.002704
унн 0.000861 0.002121
it 0.001291 4.2e-05
аспирант 0.001722 0.000153
сибирь 0.001291 0.00303
фтф 0.00043 0.00101
большой 0.001291 0.001564
идо 0.00043 0.001061
биомед 0.000861 0.002121
фп 0.00043 0.001061
визит 0.001722 0.000987
рейтинг 0.001291 0.000716
выставка 0.001291 0.002555
коронавирус 0.000861 8.7e-05
олимпиада 0.000861 5.7e-05
предприятие 0.001722 0.002846
ипмкн 0.00043 0.001061
молодой 0.001291 0.000669
учёный 0.003013 0.000165
приёмный 0.002152 0.000167
кампания 0.000861 0.00158
фж 0.00043 0.001061
юи 0.000861 0.00202
исследование 0.003444 0.000112
биоклимланда 0.00043 0.001061
лекция 0.002152 0.001949
спортивный 0.00043 0.000317
жизнь 0.002152 0.001492
– 0.002583 0.00148
регион 0.001722 0.002281
фипн 0.00043 0.00101
спорт 0.000861 0.000561
арктика 0.00043 0.000712
ммф 0.00043 0.001061
нб 0.000861 0.002121
предпринимательство 0.000861 0.00114
форум 0.001291 0.002135
сфть 0.00043 0.00101
научный 0.002583 5.6e-05
библиотека 0.001722 0.000954
интервью 0.00043 0.000924
ффк 0.00043 0.00101
big 0.000861 0.001929
data 0.000861 0.001772
фита 0.000861 0.002121
климат 0.001291 0.002771
история 0.000861 6.7e-05
безопасность 0.001291 5.6e-05
иф 0.00043 0.00101
эндаумент 0.005166 0.009837
фонд 0.00861 0.002915
музей 0.004305 0.003171
минобрнауки 0.00043 0.000712
социальный 0.002152 4.6e-05
работа 0.000861 3.7e-05
фсф 0.000861 0.00202
кампус 0.00043 0.000762
онлайн 0.003444 0.001065
курс 0.001722 0.000412
фия 0.000861 0.002121
юбилей 0.000861 0.001012
140 0.00043 0.000965
экспедиция 0.000861 0.001847
скат 0.00043 0.001061
трудоустройство 0.000861 0.001423
подкаст 0.000861 0.002121
праздник 0.001291 0.002135
приоритет 0.003444 0.001489
2030 0.001291 0.000624
волонтёр 0.000861 0.00202
hits 0.00043 0.00101
менделеев 0.000861 0.001929
космос 0.00043 0.000965
нии 0.003013 0.00553
пмм 0.00043 0.001061
акция 0.001291 0.002459
разработка 0.00043 0.000133
ботсад 0.00043 0.00101
ведущий 0.00043 0.000179
соцгум 0.001291 0.003182
цифровизация 0.00043 0.000924
консорциум 0.001291 0.002894
бб 0.000861 0.002121
иностранный 0.001291 4.2e-05
промышленность 0.00043 0.00079
биотехнология 0.001291 0.002287
нацпроект 0.000861 0.002121
лаборатория 0.003444 0.001324
магистрант 0.001291 0.002555
медицина 0.00043 0.000308
ихтц 0.00043 0.001061
конфуций 0.00043 0.001061
центр 0.015067 0.000324
превосходство 0.001291 0.00303
вшж 0.00043 0.001061
стажировка 0.00043 0.000298
рнф 0.00043 0.000762
повышение 0.000861 7.7e-05
квалификация 0.000861 0.000107
стартап 0.000861 0.000901
бизнес 0.001291 0.00058
инкубатор 0.001291 0.002208
u 0.00043 0.001061
novus 0.00043 0.001061
день 0.004735 0.001329
рождение 0.000861 0.001703
содействие 0.00043 0.000736
занятость 0.00043 0.000924
импортозамещение 0.00043 0.001061
психология 0.000861 0.000579
я 0.001291 0.001818
профессионал 0.00043 0.000762
ия 0.00043 0.000588
профком 0.000861 0.001703
материаловедение 0.00043 0.00079
иво 0.000861 0.002121
переподготовка 0.00043 0.000924
соцсеть 0.00043 0.000965
моокий 0.00043 0.001061
физика 0.000861 3.7e-05
общежитие 0.000861 0.00125
мегагрант 0.00043 0.001061
дорожный 0.000861 0.00158
карта 0.001291 0.000115
экономика 0.001722 0.000892
умс 0.00043 0.001061
патент 0.00043 0.000924
дистанционный 0.001291 2.8e-05
обучение 0.001722 1.8e-05
усмп 0.00043 0.001061
открытый 0.003444 0.001115
школа 0.003444 3.7e-05
молодёжный 0.001291 0.00098
умник 0.00043 0.000924
аккредитация 0.000861 0.000634
палеонтология 0.00043 0.001061
рго 0.00043 0.00101
эпц 0.000861 0.002121
актереть 0.00043 0.000965
благотворительность 0.00043 0.000924
профориентация 0.00043 0.001061
экскурсия 0.000861 0.001703
биология 0.001722 0.000923
встреча 0.000861 0.00078
фпмк 0.00043 0.001061
дайджест 0.000861 0.00202
искусство 0.000861 0.000983
химия 0.00043 0.000215
эф 0.00043 0.001061
worldskills 0.001291 0.003182
карьера 0.000861 0.000579
биогеоклим 0.00043 0.001061
финф 0.000861 0.002121
семинар 0.001722 0.001751
робототехника 0.00043 0.00057
летний 0.001291 0.002065
проректор 0.000861 0.00158
рффи 0.00043 0.000965
