word tf tf_idf
в 0.008531 0.001062
униклиника 0.003791 0.014598
кфу 0.023697 0.024098
сдать 0.003791 0.01197
анализ 0.009479 0.010214
covid 0.006635 0.015566
19 0.006635 0.005505
институт 0.018009 0.000387
геология 0.001896 0.001527
нефтегазовый 0.000948 0.000964
технология 0.003791 0.000907
фундаментальный 0.001896 0.00033
медицина 0.006635 0.004742
биология 0.002844 0.001524
экология 0.000948 0.000657
природопользование 0.000948 0.00091
химический 0.000948 0.000474
а 0.000948 0.000458
м 0.000948 0.000637
бутлеров 0.000948 0.000992
междисциплинарный 0.000948 0.000189
центр 0.012322 0.000265
аналитический 0.000948 0.00091
микроскопия 0.000948 0.000992
научно 0.005687 0.000777
образовательный 0.001896 2e-05
фармацевтика 0.000948 0.000964
юридический 0.000948 0.000598
факультет 0.003791 0.002032
международный 0.003791 0.001284
отношение 0.000948 0.000543
филология 0.000948 0.000764
межкультурный 0.000948 0.000964
коммуникация 0.001896 0.000948
лев 0.000948 0.001021
толстой 0.000948 0.001051
психология 0.000948 0.000637
образование 0.008531 9.1e-05
социально 0.001896 0.001819
философский 0.000948 0.000657
наука 0.005687 6.1e-05
массовый 0.000948 0.000598
высокий 0.005687 0.001516
школа 0.004739 5.1e-05
журналистика 0.000948 5.2e-05
медиакоммуникация 0.001896 0.002043
управление 0.002844 3e-05
экономика 0.000948 0.000491
финансы 0.000948 0.000764
государственный 0.000948 0.000107
муниципальный 0.000948 0.000964
бизнес 0.000948 0.000426
общеуниверситетский 0.000948 0.000992
кафедра 0.000948 5.2e-05
физический 0.000948 0.000394
воспитание 0.000948 0.000884
спорт 0.001896 0.001235
физика 0.001896 8.2e-05
информационный 0.001896 0.000789
интеллектуальный 0.000948 0.000118
система 0.001896 2e-05
вычислительный 0.000948 0.000618
математика 0.001896 8.2e-05
механика 0.000948 0.000508
н 0.002844 0.001422
и 0.002844 0.001684
лобачевский 0.002844 0.002892
инженерный 0.000948 0.000458
повышение 0.001896 0.000169
квалификация 0.000948 0.000118
подготовительный 0.000948 0.000858
иностранный 0.005687 0.000184
учиться 0.000948 0.00072
непрерывный 0.000948 0.001021
it 0.000948 3.1e-05
лицей 0.001896 0.00162
интернат 0.000948 0.001021
имя 0.000948 0.00058
набережночелнинский 0.000948 0.000992
елабужский 0.000948 0.000992
вход 0.001896 6.1e-05
сайт 0.001896 4.1e-05
ректор 0.000948 0.000293
студент 0.003791 0.00025
абитуриент 0.001896 0.000125
сотрудник 0.001896 0.000378
