word tf tf_idf
фотоотчёт 0.000678 0.001589
мфть 0.026423 0.019464
абитуриент 0.003388 0.000223
один 0.003388 0.001816
главный 0.000678 2.9e-05
принцип 0.000678 0.000499
уникальный 0.001355 0.000883
система 0.002033 2.2e-05
физтех 0.014905 0.01098
заложить 0.000678 0.000499
основа 0.000678 0.000339
образование 0.004743 5.1e-05
являться 0.00271 0.001309
тщательный 0.000678 0.000514
отбор 0.000678 0.00047
одарённый 0.000678 0.000484
склонный 0.000678 0.000514
творческий 0.000678 0.000293
работа 0.004743 0.000206
представитель 0.004065 0.000605
молодёжь 0.000678 0.000339
становиться 0.000678 0.000484
самый 0.001355 0.000654
талантливый 0.000678 0.000499
высокообразованный 0.000678 0.000514
выпускник 0.006775 0.000524
школа 0.006098 6.5e-05
весь 0.000678 0.000316
россия 0.003388 0.000185
десяток 0.000678 0.000514
страна 0.000678 0.000363
мир 0.001355 0.000726
приёмный 0.001355 0.000105
комиссия 0.001355 0.000542
центр 0.00271 5.8e-05
зфтша 0.002033 0.001543
олимпиада 0.004065 0.000268
конференция 0.006098 0.000472
студент 0.004743 0.000313
аспирант 0.000678 6e-05
ru 0.007453 0.0
en 0.000678 0.000339
карта 0.000678 6e-05
сайт 0.002033 4.4e-05
личный 0.000678 0.000118
кабинет 0.000678 0.000118
вход 0.001355 4.4e-05
администратор 0.000678 0.000499
адрес 0.000678 0.000135
e 0.000678 0.000219
mail 0.001355 2.9e-05
вспомнить 0.000678 0.000514
оставаться 0.000678 0.000514
регистрация 0.000678 2.2e-05
забыть 0.000678 0.000144
пароль 0.000678 0.000135
сервис 0.000678 0.000327
it 0.000678 2.2e-05
поиск 0.000678 0.000293
тело 0.000678 0.000428
справочник 0.000678 0.000126
поддержать 0.000678 0.000455
о 0.001355 0.000202
ведущий 0.000678 0.000282
технический 0.002033 6.6e-05
вуз 0.002033 0.000879
институт 0.002033 4.4e-05
право 0.000678 0.000219
занимать 0.000678 0.000499
лидировать 0.000678 0.000514
место 0.000678 7e-06
качественный 0.000678 0.000499
приём 0.001355 0.000459
квалифицировать 0.000678 0.000484
подготовка 0.002033 0.000353
узкий 0.000678 0.000514
круг 0.001355 0.001029
лицо 0.000678 0.000351
который 0.004743 0.001606
благодаря 0.000678 0.000441
окружающие 0.000678 0.000514
возможность 0.000678 0.000327
междисциплинарный 0.000678 0.000135
научный 0.00542 0.000117
мочь 0.000678 0.000363
полный 0.000678 0.000441
мера 0.000678 0.000126
реализовать 0.000678 0.000339
свой 0.002033 0.000719
потенциал 0.000678 0.000428
общий 0.000678 0.000304
информация 0.001355 2.9e-05
руководство 0.000678 0.000441
подразделение 0.001355 4.4e-05
публикация 0.001355 0.000726
сми 0.000678 6.8e-05
рейтинг 0.000678 0.000376
история 0.001355 0.000105
сведение 0.002033 0.001243
образовательный 0.001355 1.4e-05
организация 0.001355 0.000169
партнёр 0.002033 0.000846
профилактика 0.000678 0.000339
коронавирус 0.000678 6.8e-05
цель 0.001355 0.000829
устойчивый 0.000678 0.000401
развитие 0.004065 0.000177
оплата 0.000678 0.000441
­­ 0.000678 0.000514
обучение 0.004065 4.3e-05
хороший 0.000678 0.000282
подход 0.000678 0.00047
доказывать 0.000678 0.000514
существование 0.000678 0.000514
неизменный 0.000678 0.000514
вид 0.000678 0.000401
60 0.000678 0.000351
год 0.00271 0.000506
получение 0.000678 0.000376
фундаментальный 0.000678 0.000118
область 0.004743 0.001677
математика 0.002033 8.8e-05
физика 0.003388 0.000147
предварительный 0.000678 0.00047
знакомство 0.000678 0.000514
избранный 0.001355 0.001029
специализация 0.000678 0.000499
наряду 0.000678 0.000499
приобретение 0.000678 0.000484
навык 0.000678 0.000441
самостоятельный 0.000678 0.000499
4м 0.000678 0.000514
курс 0.001355 0.000324
обеспечивать 0.000678 0.000428
каждый 0.001355 0.000911
объём 0.000678 0.00047
знание 0.000678 0.000339
опыт 0.000678 0.000441
полноценный 0.000678 0.000514
учёный 0.004065 0.000222
такой 0.000678 0.000363
образ 0.000678 0.000428
окончание 0.000678 0.000293
иметь 0.000678 0.000327
значительный 0.000678 0.00047
достижение 0.000678 3.7e-05
они 0.000678 0.000401
направление 0.002033 0.000719
деятельность 0.002033 0.000157
дистанционный 0.000678 1.5e-05
открытый 0.000678 0.000219
онлайн 0.000678 0.000209
институтский 0.001355 0.001029
кафедра 0.001355 7.4e-05
департамент 0.002033 0.000405
преподаватель 0.002033 0.000658
базовый 0.000678 0.000428
факультетский 0.000678 0.000499
школьник 0.002033 0.000813
иностранный 0.001355 4.4e-05
гражданин 0.001355 4.4e-05
повышение 0.001355 0.000121
квалификация 0.001355 0.000169
фпй 0.001355 0.001029
диссертационный 0.000678 0.000499
совет 0.003388 0.00141
