word tf tf_idf
выпускник 0.008029 0.000621
елабужский 0.020517 0.021477
институт 0.035682 0.000767
современный 0.005352 0.006677
образовательный 0.010705 0.000114
пространство 0.002676 0.005096
геология 0.001784 0.001437
нефтегазовый 0.000892 0.000907
технология 0.006244 0.001494
фундаментальный 0.000892 0.000155
медицина 0.00446 0.003188
биология 0.001784 0.000956
экология 0.000892 0.000618
природопользование 0.000892 0.000856
химический 0.000892 0.000446
а 0.001784 0.000861
м 0.000892 0.0006
бутлеров 0.000892 0.000934
междисциплинарный 0.000892 0.000178
центр 0.010705 0.00023
аналитический 0.000892 0.000856
микроскопия 0.000892 0.000934
научно 0.009813 0.00134
фармацевтика 0.000892 0.000907
юридический 0.000892 0.000563
факультет 0.003568 0.001912
международный 0.003568 0.001208
отношение 0.000892 0.000511
филология 0.000892 0.000719
межкультурный 0.000892 0.000907
коммуникация 0.001784 0.000892
лев 0.000892 0.000961
толстой 0.000892 0.00099
психология 0.000892 0.0006
образование 0.014273 0.000153
социально 0.002676 0.002569
философский 0.000892 0.000618
наука 0.006244 6.7e-05
массовый 0.000892 0.000563
высокий 0.00446 0.001189
школа 0.007136 7.6e-05
журналистика 0.000892 4.9e-05
медиакоммуникация 0.000892 0.000961
управление 0.002676 2.9e-05
экономика 0.000892 0.000462
финансы 0.000892 0.000719
государственный 0.000892 0.0001
муниципальный 0.000892 0.000907
бизнес 0.000892 0.0004
общеуниверситетский 0.000892 0.000934
кафедра 0.000892 4.9e-05
физический 0.000892 0.000371
воспитание 0.000892 0.000832
спорт 0.001784 0.001162
физика 0.001784 7.8e-05
информационный 0.002676 0.001114
интеллектуальный 0.000892 0.000111
система 0.000892 1e-05
вычислительный 0.000892 0.000581
математика 0.001784 7.8e-05
механика 0.000892 0.000478
н 0.002676 0.001339
и 0.002676 0.001584
лобачевский 0.002676 0.002722
инженерный 0.000892 0.000431
повышение 0.002676 0.000238
квалификация 0.001784 0.000222
подготовительный 0.000892 0.000808
иностранный 0.006244 0.000203
учиться 0.001784 0.001354
непрерывный 0.000892 0.000961
it 0.000892 2.9e-05
лицей 0.001784 0.001524
интернат 0.000892 0.000961
кфу 0.023194 0.023586
имя 0.002676 0.001636
набережночелнинский 0.000892 0.000934
вход 0.001784 5.8e-05
сайт 0.001784 3.8e-05
ректор 0.000892 0.000276
студент 0.00446 0.000294
абитуриент 0.002676 0.000177
сотрудник 0.001784 0.000356
карьера 0.000892 0.0006
музей 0.001784 0.001314
библиотека 0.001784 0.000989
газета 0.001784 0.001712
казанский 0.002676 0.002644
университет 0.009813 0.000105
univer 0.000892 0.000907
tv 0.000892 0.000907
darelfonyn 0.000892 0.000961
english 0.000892 0.000638
español 0.000892 0.000961
中文 0.000892 0.000618
о 0.002676 0.000398
миссия 0.000892 0.000961
структура 0.000892 0.000581
документ 0.002676 0.001689
безопасность 0.000892 3.9e-05
история 0.001784 0.000138
стратегия 0.000892 0.000618
развитие 0.005352 0.000233
цифра 0.000892 0.000719
факт 0.000892 0.00074
отчёт 0.000892 0.000677
интернет 0.000892 0.000563
приёмный 0.000892 6.9e-05
закупка 0.000892 0.000856
достижение 0.000892 4.9e-05
карта 0.001784 0.000159
объект 0.001784 0.001395
телефонный 0.001784 0.001524
справочник 0.001784 0.000333
обучаться 0.00446 0.002998
корпоративный 0.000892 2.9e-05
компетенция 0.000892 2.9e-05
раскрытие 0.000892 0.000907
информация 0.001784 3.8e-05
минюст 0.000892 0.000934
россия 0.00446 0.000244
рассмотрение 0.000892 0.000856
обращение 0.000892 0.000166
гражданин 0.003568 0.000116
