word tf tf_idf
физика 0.005639 0.000245
тгу 0.019737 0.037584
получить 0.00282 0.002077
международный 0.007519 0.002546
награда 0.006579 0.011251
статья 0.007519 0.011269
новый 0.007519 0.003502
наноматериал 0.011278 0.022312
сайт 0.004699 0.000101
ru 0.00188 0.0
en 0.00094 0.00047
cn 0.00094 0.00179
всё 0.00188 0.001606
новость 0.00188 0.000375
календарь 0.00188 0.001303
событие 0.00188 0.001007
медиа 0.00188 0.002909
проект 0.00188 4e-05
alma 0.00188 0.003214
mater 0.00188 0.003214
архив 0.00282 0.003969
информационный 0.00282 0.001173
материал 0.011278 0.002547
электронный 0.003759 0.001565
почта 0.00094 0.000318
office 0.00094 0.001859
ido 0.00094 0.001859
tsu 0.00094 0.00179
телефон 0.00094 0.000929
3822 0.00188 0.003719
78 0.00094 0.001607
56 0.00094 0.001409
53 0.00094 0.001409
главный 0.00094 4.1e-05
страницався 0.00094 0.001859
новостифизика 0.00094 0.00427
02 0.00094 0.000487
03 0.00094 0.000521
2023 0.00094 2e-05
публикация 0.00188 0.001007
физик 0.00094 0.002441
томский 0.00282 0.005369
госуниверситет 0.00188 0.005934
выдвинуть 0.00094 0.00427
научный 0.008459 0.000182
комитет 0.00094 0.000851
исследование 0.005639 0.000183
область 0.003759 0.001329
передовой 0.00282 0.002786
нанотехнология 0.00282 0.005369
получение 0.00094 0.000521
премия 0.00188 0.002566
номинация 0.00094 0.003237
выдающийся 0.00188 0.004212
достижение 0.00282 0.000154
опубликовать 0.00282 0.002629
журнал 0.00188 0.000145
carbon 0.00188 0.007237
scopus 0.00094 0.003619
q1 0.00094 0.00427
учёный 0.00282 0.000154
предложить 0.00282 0.006615
низкоразмерный 0.003759 0.010344
обладать 0.00094 0.003237
экстремальный 0.003759 0.009765
физический 0.005639 0.002347
химический 0.003759 0.001881
свойство 0.004699 0.007513
такой 0.00188 0.001007
использовать 0.00188 0.003719
создание 0.00282 0.003849
прорывный 0.00188 0.00854
разработка 0.00188 0.000581
сфера 0.00094 0.000735
квантовый 0.008459 0.010552
компьютер 0.00188 0.004212
биомедицинский 0.00188 0.004631
технология 0.006579 0.001574
в 0.00188 0.000234
теоретически 0.00094 0.00427
исследовать 0.00094 0.002316
основа 0.003759 0.001881
двухслойный 0.00188 0.00854
графен 0.00282 0.010856
иметь 0.00188 0.000908
структура 0.003759 0.002449
физико 0.00282 0.001128
особый 0.00094 0.001725
внимание 0.00188 0.004033
уделить 0.00094 0.00427
изучение 0.00188 0.002566
спиновый 0.00188 0.005934
сочетание 0.00094 0.003237
детальный 0.00094 0.002757
рассмотрение 0.00094 0.000902
топологический 0.00094 0.002316
