word tf tf_idf
перечень 0.000887 0.001904
научно 0.015084 0.00206
технический 0.002662 8.6e-05
мероприятие 0.002218 0.001585
кфу 0.015084 0.01534
конференция 0.008873 0.000687
симпозиум 0.001331 0.003123
олимпиада 0.001775 0.000117
др 0.000887 0.001628
\конференция 0.000444 0.002016
казанский 0.004437 0.004383
приволжский 0.002662 0.002953
федеральный 0.003993 0.002854
университет 0.006655 7.1e-05
институт 0.024845 0.000534
геология 0.001331 0.001072
нефтегазовый 0.000887 0.000902
технология 0.005324 0.001274
фундаментальный 0.001331 0.000231
медицина 0.003993 0.002854
биология 0.001775 0.000951
экология 0.002218 0.001538
природопользование 0.000887 0.000852
химический 0.001331 0.000666
а 0.005324 0.002571
м 0.002662 0.001789
бутлеров 0.001331 0.001393
междисциплинарный 0.000887 0.000177
центр 0.012866 0.000277
аналитический 0.000887 0.000852
микроскопия 0.000887 0.000929
образовательный 0.004437 4.7e-05
фармацевтика 0.000887 0.000902
юридический 0.002218 0.0014
факультет 0.00488 0.002616
международный 0.01331 0.004507
отношение 0.000887 0.000508
филология 0.006211 0.005004
межкультурный 0.003106 0.003158
коммуникация 0.005324 0.002663
лев 0.000444 0.000478
толстой 0.000444 0.000492
психология 0.002662 0.001789
образование 0.011979 0.000128
социально 0.002662 0.002555
философский 0.002218 0.001538
наука 0.006655 7.1e-05
массовый 0.002218 0.0014
высокий 0.003993 0.001065
школа 0.007542 8.1e-05
журналистика 0.000444 2.4e-05
медиакоммуникация 0.000444 0.000478
управление 0.00488 5.2e-05
экономика 0.003549 0.001838
финансы 0.002218 0.001787
государственный 0.000887 0.0001
муниципальный 0.001331 0.001354
бизнес 0.000887 0.000398
общеуниверситетский 0.000887 0.000929
кафедра 0.003106 0.00017
физический 0.001331 0.000554
воспитание 0.001331 0.001241
спорт 0.001331 0.000867
физика 0.003993 0.000174
информационный 0.001775 0.000739
интеллектуальный 0.000887 0.00011
система 0.000887 9e-06
вычислительный 0.000887 0.000578
математика 0.002662 0.000116
механика 0.001331 0.000713
н 0.002662 0.001332
и 0.005324 0.003152
лобачевский 0.002218 0.002256
инженерный 0.002662 0.001285
повышение 0.000444 3.9e-05
квалификация 0.000444 5.5e-05
подготовительный 0.001331 0.001205
иностранный 0.003549 0.000115
учиться 0.001331 0.00101
непрерывный 0.000444 0.000478
it 0.000887 2.9e-05
лицей 0.001775 0.001516
интернат 0.001331 0.001434
имя 0.002662 0.001628
набережночелнинский 0.000887 0.000929
елабужский 0.002662 0.002786
вход 0.000887 2.9e-05
сайт 0.000887 1.9e-05
ректор 0.000444 0.000137
студент 0.003106 0.000205
абитуриент 0.000887 5.9e-05
сотрудник 0.000887 0.000177
выпускник 0.000887 6.9e-05
карьера 0.000444 0.000298
музей 0.001331 0.00098
библиотека 0.001331 0.000738
газета 0.000887 0.000852
univer 0.000444 0.000451
tv 0.000444 0.000451
darelfonyn 0.000444 0.000478
english 0.000444 0.000317
español 0.000444 0.000478
中文 0.000444 0.000308
о 0.001331 0.000198
миссия 0.000444 0.000478
структура 0.000444 0.000289
документ 0.001331 0.00084
безопасность 0.000444 1.9e-05
история 0.002218 0.000172
стратегия 0.000444 0.000308
развитие 0.001331 5.8e-05
цифра 0.000444 0.000357
факт 0.000444 0.000368
отчёт 0.000444 0.000337
интернет 0.000444 0.00028
приёмный 0.000444 3.4e-05
закупка 0.000444 0.000426
достижение 0.000444 2.4e-05
карта 0.000887 7.9e-05
объект 0.000887 0.000694
телефонный 0.000887 0.000758
справочник 0.000887 0.000166
обучаться 0.000887 0.000596
корпоративный 0.000444 1.4e-05
компетенция 0.000444 1.4e-05
раскрытие 0.000444 0.000451
информация 0.000887 1.9e-05
минюст 0.000444 0.000464
россия 0.002218 0.000121
рассмотрение 0.000444 0.000426
обращение 0.000444 8.3e-05
гражданин 0.001775 5.8e-05
организация 0.001331 0.000166
национальный 0.000887 0.000143
проект 0.002218 4.8e-05
основной 0.000444 0.000178
подразделение 0.001331 4.3e-05
филиал 0.003106 0.002087
нормативный 0.000887 0.000804
правовой 0.000444 0.000368
обеспечение 0.000887 0.000694
деятельность 0.003106 0.00024
дистанционный 0.000887 1.9e-05
обучение 0.003549 3.8e-05
список 0.000444 0.000271
кандидатский 0.000444 0.000438
диссертация 0.000444 0.000347
аспирант 0.000887 7.9e-05
предполагать 0.000444 0.000451
научный 0.00488 0.000105
руководитель 0.000444 0.000357
электронный 0.000887 0.000369
контингент 0.000444 0.000438
вакантный 0.000444 0.000451
место 0.000444 5e-06
стипендия 0.000444 0.000308
расписание 0.000444 0.000379
журнал 0.000444 3.4e-05
успеваемость 0.000444 0.000451
независимый 0.000444 0.000438
оценка 0.000444 0.000271
качество 0.000444 0.000222
практика 0.000887 0.00046
вакансия 0.000887 0.000177
работодатель 0.000444 0.000337
стажировка 0.000887 0.000615
рубеж 0.000887 0.000827
дополнительный 0.002662 0.001285
довузовский 0.000444 0.000414
ассоциация 0.000444 0.000451
