word tf tf_idf
лекция 0.021978 0.019906
квантовый 0.007111 0.00887
физика 0.006464 0.000281
морозов 0.001939 0.00668
а 0.003232 0.001561
и 0.001939 0.001148
кафедра 0.001939 0.000106
общий 0.001939 0.000871
абитуриент 0.003232 0.000213
один 0.001939 0.001039
главный 0.000646 2.8e-05
принцип 0.003878 0.002857
уникальный 0.001293 0.000842
система 0.003232 3.5e-05
физтех 0.005171 0.003809
заложить 0.000646 0.000476
основа 0.000646 0.000323
образование 0.003232 3.5e-05
мфть 0.007757 0.005714
являться 0.002586 0.001248
тщательный 0.000646 0.000491
отбор 0.001293 0.000896
одарённый 0.000646 0.000462
склонный 0.000646 0.000491
творческий 0.000646 0.00028
работа 0.002586 0.000112
представитель 0.001293 0.000192
молодёжь 0.000646 0.000323
становиться 0.000646 0.000462
самый 0.000646 0.000312
талантливый 0.000646 0.000476
высокообразованный 0.000646 0.000491
выпускник 0.002586 0.0002
школа 0.001939 2.1e-05
весь 0.000646 0.000301
россия 0.001293 7.1e-05
десяток 0.000646 0.000491
страна 0.000646 0.000346
мир 0.001293 0.000693
приёмный 0.001293 0.0001
комиссия 0.001293 0.000517
центр 0.001939 4.2e-05
зфтша 0.001293 0.000981
олимпиада 0.000646 4.3e-05
конференция 0.001293 0.0001
студент 0.002586 0.000171
аспирант 0.000646 5.7e-05
ru 0.007111 0.0
en 0.000646 0.000323
карта 0.000646 5.7e-05
сайт 0.001939 4.2e-05
личный 0.000646 0.000112
кабинет 0.000646 0.000112
вход 0.001293 4.2e-05
администратор 0.000646 0.000476
адрес 0.000646 0.000129
e 0.001293 0.000419
mail 0.001293 2.8e-05
вспомнить 0.000646 0.000491
оставаться 0.000646 0.000491
регистрация 0.000646 2.1e-05
забыть 0.000646 0.000137
пароль 0.000646 0.000129
сервис 0.000646 0.000312
it 0.000646 2.1e-05
поиск 0.000646 0.00028
тело 0.001293 0.000816
справочник 0.000646 0.000121
поддержать 0.000646 0.000434
о 0.000646 9.6e-05
ведущий 0.000646 0.000269
технический 0.001939 6.3e-05
вуз 0.000646 0.00028
институт 0.001293 2.8e-05
право 0.000646 0.000209
занимать 0.000646 0.000476
лидировать 0.000646 0.000491
место 0.000646 7e-06
качественный 0.000646 0.000476
приём 0.000646 0.000219
квалифицировать 0.000646 0.000462
подготовка 0.000646 0.000112
узкий 0.000646 0.000491
круг 0.001293 0.000981
лицо 0.000646 0.000335
который 0.000646 0.000219
благодаря 0.000646 0.000421
окружающие 0.000646 0.000491
возможность 0.000646 0.000312
междисциплинарный 0.000646 0.000129
научный 0.003878 8.3e-05
мочь 0.000646 0.000346
полный 0.001939 0.001263
мера 0.000646 0.000121
реализовать 0.000646 0.000323
свой 0.000646 0.000229
потенциал 0.002586 0.001632
информация 0.001293 2.8e-05
руководство 0.000646 0.000421
подразделение 0.000646 2.1e-05
публикация 0.000646 0.000346
сми 0.000646 6.5e-05
рейтинг 0.000646 0.000358
история 0.000646 5e-05
сведение 0.001939 0.001186
образовательный 0.001293 1.4e-05
организация 0.001293 0.000161
партнёр 0.000646 0.000269
профилактика 0.000646 0.000323
коронавирус 0.000646 6.5e-05
цель 0.000646 0.000395
устойчивый 0.000646 0.000383
развитие 0.001939 8.4e-05
оплата 0.000646 0.000421
­­ 0.000646 0.000491
обучение 0.001939 2.1e-05
хороший 0.000646 0.000269
подход 0.000646 0.000448
доказывать 0.000646 0.000491
существование 0.001293 0.000981
неизменный 0.000646 0.000491
вид 0.000646 0.000383
60 0.000646 0.000335
год 0.000646 0.000121
получение 0.000646 0.000358
фундаментальный 0.002586 0.00045
область 0.001293 0.000457
математика 0.001293 5.6e-05
предварительный 0.000646 0.000448
знакомство 0.000646 0.000491
избранный 0.001293 0.000981
специализация 0.000646 0.000476
наряду 0.000646 0.000476
приобретение 0.000646 0.000462
навык 0.000646 0.000421
самостоятельный 0.000646 0.000476
4м 0.000646 0.000491
курс 0.003878 0.000928
обеспечивать 0.000646 0.000408
каждый 0.001293 0.000869
объём 0.001293 0.000896
знание 0.000646 0.000323
опыт 0.002586 0.001684
полноценный 0.000646 0.000491
учёный 0.001293 7.1e-05
такой 0.000646 0.000346
образ 0.000646 0.000408
окончание 0.000646 0.00028
иметь 0.000646 0.000312
значительный 0.000646 0.000448
достижение 0.000646 3.5e-05
они 0.000646 0.000383
направление 0.001939 0.000686
деятельность 0.001939 0.00015
дистанционный 0.000646 1.4e-05
открытый 0.000646 0.000209
онлайн 0.000646 0.0002
