word tf tf_idf
институт 0.02707 0.000582
социально 0.009554 0.00917
философский 0.007962 0.005519
наука 0.015924 0.00017
массовый 0.006369 0.004021
коммуникация 0.008758 0.004381
казанский 0.004777 0.004719
приволжский 0.000796 0.000883
федеральный 0.003185 0.002276
университет 0.01035 0.000111
геология 0.001592 0.001283
нефтегазовый 0.000796 0.00081
технология 0.003185 0.000762
фундаментальный 0.000796 0.000138
медицина 0.003981 0.002845
биология 0.001592 0.000853
экология 0.000796 0.000552
природопользование 0.000796 0.000764
химический 0.000796 0.000398
а 0.001592 0.000769
м 0.000796 0.000535
бутлеров 0.000796 0.000833
междисциплинарный 0.000796 0.000159
центр 0.013535 0.000291
аналитический 0.001592 0.001528
микроскопия 0.000796 0.000833
научно 0.005573 0.000761
образовательный 0.003185 3.4e-05
фармацевтика 0.000796 0.00081
юридический 0.000796 0.000503
факультет 0.003185 0.001707
международный 0.003185 0.001078
отношение 0.000796 0.000456
филология 0.000796 0.000641
межкультурный 0.000796 0.00081
лев 0.000796 0.000858
толстой 0.000796 0.000883
психология 0.000796 0.000535
образование 0.012739 0.000136
высокий 0.003981 0.001061
школа 0.005573 6e-05
журналистика 0.001592 8.7e-05
медиакоммуникация 0.000796 0.000858
управление 0.002389 2.6e-05
экономика 0.000796 0.000412
финансы 0.000796 0.000641
государственный 0.002389 0.000269
муниципальный 0.000796 0.00081
бизнес 0.001592 0.000715
общеуниверситетский 0.000796 0.000833
кафедра 0.002389 0.000131
физический 0.000796 0.000331
воспитание 0.000796 0.000742
спорт 0.000796 0.000519
физика 0.001592 6.9e-05
информационный 0.001592 0.000663
интеллектуальный 0.000796 9.9e-05
система 0.000796 9e-06
вычислительный 0.000796 0.000519
математика 0.001592 6.9e-05
механика 0.000796 0.000427
н 0.004777 0.00239
и 0.002389 0.001414
лобачевский 0.002389 0.002429
инженерный 0.000796 0.000384
повышение 0.001592 0.000142
квалификация 0.000796 9.9e-05
подготовительный 0.000796 0.000721
иностранный 0.006369 0.000207
учиться 0.001592 0.001209
непрерывный 0.000796 0.000858
it 0.000796 2.6e-05
лицей 0.001592 0.001361
интернат 0.000796 0.000858
кфу 0.015127 0.015384
имя 0.000796 0.000487
набережночелнинский 0.000796 0.000833
елабужский 0.000796 0.000833
вход 0.001592 5.2e-05
сайт 0.001592 3.4e-05
ректор 0.000796 0.000246
студент 0.004777 0.000315
абитуриент 0.002389 0.000158
сотрудник 0.002389 0.000476
выпускник 0.003185 0.000246
карьера 0.000796 0.000535
музей 0.001592 0.001173
библиотека 0.001592 0.000883
газета 0.001592 0.001528
univer 0.000796 0.00081
tv 0.000796 0.00081
darelfonyn 0.000796 0.000858
english 0.000796 0.000569
español 0.000796 0.000858
中文 0.000796 0.000552
о 0.002389 0.000356
миссия 0.000796 0.000858
структура 0.002389 0.001556
документ 0.002389 0.001508
безопасность 0.000796 3.5e-05
история 0.000796 6.2e-05
стратегия 0.000796 0.000552
развитие 0.003185 0.000138
цифра 0.000796 0.000641
факт 0.000796 0.000661
отчёт 0.000796 0.000604
интернет 0.001592 0.001005
приёмный 0.002389 0.000185
закупка 0.000796 0.000764
достижение 0.000796 4.4e-05
карта 0.002389 0.000212
объект 0.001592 0.001245
телефонный 0.001592 0.001361
справочник 0.001592 0.000297
обучаться 0.001592 0.00107
корпоративный 0.000796 2.6e-05
компетенция 0.000796 2.6e-05
раскрытие 0.000796 0.00081
информация 0.002389 5.1e-05
минюст 0.000796 0.000833
россия 0.002389 0.000131
рассмотрение 0.000796 0.000764
обращение 0.000796 0.000149
гражданин 0.003185 0.000103
организация 0.002389 0.000297
национальный 0.001592 0.000257
проект 0.005573 0.00012
основной 0.000796 0.000319
подразделение 0.000796 2.6e-05
филиал 0.000796 0.000535
нормативный 0.001592 0.001442
правовой 0.000796 0.000661
обеспечение 0.000796 0.000623
деятельность 0.004777 0.00037
дистанционный 0.001592 3.4e-05
обучение 0.004777 5.1e-05
список 0.000796 0.000487
кандидатский 0.001592 0.001573
диссертация 0.002389 0.001868
аспирант 0.000796 7.1e-05
предполагать 0.000796 0.00081
научный 0.01035 0.000223
руководитель 0.002389 0.001924
электронный 0.001592 0.000663
контингент 0.000796 0.000787
вакантный 0.000796 0.00081
место 0.000796 9e-06
стипендия 0.000796 0.000552
расписание 0.000796 0.00068
журнал 0.000796 6.2e-05
успеваемость 0.000796 0.00081
независимый 0.000796 0.000787
оценка 0.000796 0.000487
качество 0.000796 0.000398
практика 0.001592 0.000825
вакансия 0.001592 0.000318
работодатель 0.000796 0.000604
стажировка 0.001592 0.001104
рубеж 0.001592 0.001485
дополнительный 0.003185 0.001538
довузовский 0.000796 0.000742
олимпиада 0.000796 5.3e-05
ассоциация 0.000796 0.00081
глобальный 0.000796 0.000586
магистратура 0.000796 5.3e-05
исследовательский 0.001592 0.000217
инновационный 0.000796 0.000441
аспирантура 0.002389 5.1e-05
докторантура 0.000796 0.000833
отдел 0.001592 3.4e-05
аттестация 0.000796 0.000586
педагогический 0.000796 0.000427
кадр 0.000796 0.000128
патентный 0.000796 0.000787
лицензионный 0.000796 0.00081
издание 0.000796 0.000586
конференция 0.000796 6.2e-05
молодой 0.002389 0.001237
учёный 0.001592 8.7e-05
специалист 0.000796 0.000503
работа 0.002389 0.000104
нирс 0.000796 0.000833
мировой 0.001592 0.001138
уровень 0.001592 0.000974
регуляторный 0.000796 0.000833
геномик 0.000796 0.000833
полигон 0.000796 0.000623
карбон 0.000796 0.000833
поволжье 0.000796 0.000833
конкурс 0.004777 0.000425
грант 0.000796 7.1e-05
цкп 0.000796 0.000787
уна 0.000796 0.000833
крупный 0.000796 0.000641
здравоохранение 0.001592 0.001573
мера 0.000796 0.000149
предупреждение 0.000796 0.00081
коронавирус 0.000796 8e-05
исследование 0.001592 5.2e-05
университетский 0.001592 0.001173
клиника 0.000796 0.00081
ординатура 0.000796 0.000787
клинический 0.001592 0.001573
прецизионный 0.000796 0.000833
регенеративный 0.000796 0.000787
профилактический 0.000796 0.00081
симуляционный 0.000796 0.000833
аккредитационный 0.000796 0.000833
экспериментальный 0.000796 0.000138
стоматологический 0.000796 0.000833
фантомный 0.000796 0.000833
класс 0.000796 0.000246
инжиниринговый 0.000796 0.000764
медицинский 0.001592 0.000912
симулятор 0.000796 0.000787
департамент 0.000796 0.000159
внешний 0.000796 0.0007
связь 0.001592 0.000516
сотрудничество 0.000796 0.000344
приглашение 0.000796 0.000833
миграционный 0.000796 0.000764
сопровождение 0.000796 0.000149
признание 0.000796 0.00081
адаптация 0.000796 0.000641
шаблон 0.000796 0.000858
студенческий 0.003981 0.003022
кружок 0.000796 0.000883
полимирие 0.000796 0.000883
общество 0.000796 0.000586
календарь 0.000796 0.000552
событие 0.006369 0.003414
общественный 0.005573 0.003408
представитель 0.000796 0.000119
сми 0.001592 0.00016
социальный 0.001592 3.4e-05
инфраструктура 0.000796 0.000456
культурный 0.002389 0.001759
наследие 0.000796 0.000833
дирекция 0.000796 0.000787
спортивный 0.000796 0.000586
программа 0.003185 3.4e-05
оздоровление 0.000796 0.000833
работник 0.000796 0.000441
полезный 0.000796 0.000623
ссылка 0.000796 3.5e-05
локальный 0.000796 0.000764
этический 0.000796 0.000833
комитет 0.000796 0.000721
десятилетие 0.000796 0.000742
приоритет 0.000796 0.000344
2030 0.000796 0.000384
главный 0.000796 3.5e-05
\ 0.001592 0.001667
сохранять 0.000796 0.002514
развивать 0.000796 0.001962
многолетний 0.000796 0.002743
традиция 0.000796 0.001316
преподавание 0.000796 0.001868
философия 0.000796 0.00141
политология 0.000796 0.002514
социология 0.000796 0.001639
религиоведение 0.002389 0.007541
конфликтология 0.000796 0.003065
теория 0.000796 0.001273
получать 0.000796 0.001316
позволять 0.000796 0.000398
успешно 0.000796 0.001575
проявлять 0.000796 0.003617
самый 0.000796 0.000384
разный 0.000796 0.00141
отрасль 0.000796 0.001708
политический 0.002389 0.003696
гуманитарный 0.001592 0.001873
также 0.000796 0.000787
сфера 0.000796 0.000623
медийный 0.000796 0.003617
стремиться 0.000796 0.002514
сочетать 0.000796 0.002514
глубокий 0.000796 0.001868
теоретический 0.000796 0.000552
подготовка 0.001592 0.000277
прикладной 0.000796 0.000306
спектр 0.000796 0.001516
интерес 0.000796 0.001708
широкий 0.000796 0.000471
изыскание 0.000796 0.003617
политологический 0.000796 0.003617
социологический 0.001592 0.006131
конфликтоведческий 0.000796 0.003617
религиоведческий 0.003185 0.014469
направленность 0.000796 0.002743
нацелить 0.000796 0.003065
эффективный 0.000796 0.001639
решение 0.000796 0.000787
проблема 0.000796 0.001516
стабильность 0.000796 0.002514
бесконфликтный 0.000796 0.003617
межконфессиональный 0.000796 0.002068
взаимодействие 0.000796 0.001232
народ 0.000796 0.001087
населять 0.000796 0.003617
пфо 0.000796 0.002743
поиск 0.000796 0.000344
оптимальный 0.000796 0.002191
инструмент 0.000796 0.001784
анализ 0.000796 0.000858
явление 0.000796 0.001708
формирование 0.001592 0.002464
модель 0.000796 0.001316
распределение 0.000796 0.002068
риск 0.000796 0.001868
различный 0.000796 0.001156
территория 0.000796 0.001054
конструирование 0.000796 0.003065
реальность 0.000796 0.002743
средство 0.000796 0.001232
массмедиа 0.000796 0.003617
особенность 0.000796 0.001639
являться 0.000796 0.000384
свободный 0.000796 0.002514
творческий 0.001592 0.000689
мышление 0.000796 0.002743
гуманистический 0.000796 0.003617
ценность 0.000796 0.002743
индивидуальный 0.000796 0.001962
подход 0.000796 0.000552
поощрение 0.000796 0.003065
активность 0.000796 0.000456
человек 0.000796 0.000833
работать 0.000796 0.001193
информационно 0.000796 0.002191
служба 0.000796 0.00027
орган 0.000796 0.001639
власть 0.000796 0.001962
партия 0.000796 0.002336
объединение 0.000796 0.001784
компания 0.001592 0.001986
преподавать 0.000796 0.002191
вуз 0.001592 0.000689
трудиться 0.000796 0.003617
религиозный 0.000796 0.003617
журналист 0.001592 0.000179
скамья 0.000796 0.003617
реализовать 0.000796 0.000398
свой 0.001592 0.000563
потенциал 0.000796 0.000503
местный 0.000796 0.002743
положение 0.001592 0.002723
дорожный 0.000796 0.001461
пр 0.000796 0.003065
конкурентоспособность 0.000796 0.001784
среди 0.000796 0.000993
ведущий 0.000796 0.000331
ппк 0.000796 0.003617
2015–2020 0.000796 0.003617
год 0.003185 0.000594
​​ 0.000796 0.003617
источник 0.000796 0.001273
михаил 0.002389 0.005124
дмитриевич 0.002389 0.007008
щелкун 0.002389 0.009196
директор 0.000796 0.000833
доктор 0.000796 0.001273
профессор 0.001592 0.000797
