word tf tf_idf
партнёр 0.004448 0.001851
сайт 0.002224 4.8e-05
тгу 0.024466 0.046589
ru 0.00089 0.0
en 0.000445 0.000223
cn 0.000445 0.000847
всё 0.001335 0.00114
новость 0.002669 0.000532
календарь 0.00089 0.000617
событие 0.002669 0.001431
медиа 0.001335 0.002065
проект 0.004893 0.000105
alma 0.001779 0.003043
mater 0.001779 0.003043
архив 0.001335 0.001879
информационный 0.001335 0.000555
материал 0.003114 0.000703
электронный 0.001779 0.00074
почта 0.000445 0.000151
office 0.000445 0.00088
ido 0.000445 0.00088
tsu 0.00089 0.001694
телефон 0.000445 0.000439
3822 0.00089 0.00176
78 0.000445 0.000761
56 0.000445 0.000667
53 0.000445 0.000667
главный 0.000445 1.9e-05
страницався 0.000445 0.00088
за 0.000445 0.000646
время 0.001779 0.001351
тема 0.00089 0.001016
наука 0.011121 0.000119
студент 0.003559 0.000235
образование 0.005783 6.2e-05
международный 0.004893 0.001657
сотрудничество 0.003559 0.001539
сотрудник 0.002669 0.000532
университет 0.010231 0.000109
город 0.002224 0.003938
би 0.000445 0.001044
технология 0.009786 0.002341
достижение 0.00089 4.9e-05
деятельность 0.00089 6.9e-05
грант 0.001779 0.000158
культура 0.002669 0.002215
ректор 0.001779 0.00055
конференция 0.001779 0.000138
видео 0.00089 0.001292
здоровье 0.000445 0.000607
рфф 0.000445 0.000997
ггф 0.000445 0.000997
выпускник 0.00089 6.9e-05
год 0.004448 0.00083
филф 0.000445 0.001096
иэм 0.000445 0.001044
победа 0.002224 0.004772
экология 0.00089 0.000617
эксперт 0.00089 0.001521
публикация 0.000445 0.000238
конкурс 0.001335 0.000119
магистратура 0.00089 5.9e-05
сае 0.002669 0.00528
tssw 0.001335 0.00264
хф 0.000445 0.001044
умный 0.001335 0.002282
инновация 0.001779 0.00089
награда 0.00089 0.001521
виу 0.001335 0.003288
фф 0.000445 0.000954
иик 0.000445 0.001096
школьник 0.00089 0.000356
абитуриент 0.002224 0.000147
сиббс 0.000445 0.001096
институт 0.009342 0.000201
человек 0.002224 0.002328
унн 0.00089 0.002192
it 0.001335 4.3e-05
аспирант 0.000445 4e-05
сибирь 0.001779 0.004175
фтф 0.000445 0.001044
большой 0.001779 0.002155
идо 0.000445 0.001096
биомед 0.00089 0.002192
фп 0.000445 0.001096
визит 0.001779 0.00102
рейтинг 0.001335 0.00074
выставка 0.001779 0.00352
коронавирус 0.00089 9e-05
олимпиада 0.00089 5.9e-05
предприятие 0.001779 0.002941
ипмкн 0.000445 0.001096
молодой 0.000445 0.00023
учёный 0.003559 0.000195
приёмный 0.002224 0.000172
кампания 0.00089 0.001633
фж 0.000445 0.001096
юи 0.00089 0.002087
исследование 0.003559 0.000115
биоклимланда 0.000445 0.001096
лекция 0.002224 0.002014
спортивный 0.000445 0.000328
жизнь 0.001779 0.001233
– 0.001335 0.000765
регион 0.002224 0.002946
фипн 0.000445 0.001044
спорт 0.000445 0.00029
арктика 0.000445 0.000735
ммф 0.000445 0.001096
нб 0.00089 0.002192
предпринимательство 0.00089 0.001178
форум 0.001335 0.002206
сфть 0.000445 0.001044
стипендия 0.001335 0.000925
научный 0.004448 9.6e-05
библиотека 0.002669 0.001479
интервью 0.000445 0.000954
ффк 0.000445 0.001044
big 0.00089 0.001994
data 0.00089 0.001831
фита 0.00089 0.002192
климат 0.001335 0.002863
история 0.00089 6.9e-05
безопасность 0.003114 0.000135
иф 0.000445 0.001044
эндаумент 0.001335 0.002541
фонд 0.004004 0.001356
музей 0.004893 0.003605
минобрнауки 0.000445 0.000735
социальный 0.002224 4.8e-05
работа 0.000445 1.9e-05
фсф 0.00089 0.002087
кампус 0.00089 0.001575
онлайн 0.003559 0.0011
курс 0.001779 0.000426
фия 0.00089 0.002192
юбилей 0.00089 0.001046
140 0.000445 0.000997
экспедиция 0.001335 0.002863
скат 0.000445 0.001096
трудоустройство 0.00089 0.001471
подкаст 0.00089 0.002192
праздник 0.001335 0.002206
приоритет 0.003559 0.001539
2030 0.001335 0.000644
волонтёр 0.000445 0.001044
hits 0.000445 0.001044
менделеев 0.00089 0.001994
космос 0.000445 0.000997
нии 0.003114 0.005715
пмм 0.000445 0.001096
акция 0.001335 0.002541
разработка 0.002224 0.000688
ботсад 0.000445 0.001044
ведущий 0.000445 0.000185
соцгум 0.001335 0.003288
цифровизация 0.000445 0.000954
консорциум 0.001335 0.00299
бб 0.00089 0.002192
иностранный 0.001335 4.3e-05
промышленность 0.000445 0.000816
биотехнология 0.001335 0.002363
нацпроект 0.00089 0.002192
лаборатория 0.003559 0.001368
магистрант 0.00089 0.00176
медицина 0.000445 0.000318
ихтц 0.000445 0.001096
конфуций 0.000445 0.001096
центр 0.01379 0.000297
превосходство 0.001335 0.003131
вшж 0.000445 0.001096
стажировка 0.000445 0.000308
рнф 0.000445 0.000788
повышение 0.001335 0.000119
квалификация 0.00089 0.000111
стартап 0.00089 0.000931
бизнес 0.001335 0.000599
инкубатор 0.001335 0.002282
u 0.000445 0.001096
novus 0.000445 0.001096
день 0.004893 0.001373
рождение 0.00089 0.00176
содействие 0.000445 0.000761
занятость 0.000445 0.000954
импортозамещение 0.000445 0.001096
психология 0.00089 0.000598
