word tf tf_idf
технология 0.012048 0.002882
сайт 0.002231 4.8e-05
тгу 0.024989 0.047585
ru 0.000892 0.0
en 0.000446 0.000223
cn 0.000446 0.00085
всё 0.001339 0.001144
новость 0.002677 0.000534
календарь 0.000892 0.000619
событие 0.002677 0.001435
медиа 0.001339 0.002072
проект 0.004016 8.6e-05
alma 0.001785 0.003052
mater 0.001785 0.003052
архив 0.001339 0.001885
информационный 0.001339 0.000557
материал 0.00357 0.000806
электронный 0.001785 0.000743
почта 0.000446 0.000151
office 0.000446 0.000883
ido 0.000446 0.000883
tsu 0.000892 0.001699
телефон 0.000446 0.000441
3822 0.000892 0.001766
78 0.000446 0.000763
56 0.000446 0.000669
53 0.000446 0.000669
главный 0.000446 1.9e-05
страницався 0.000446 0.000883
за 0.000446 0.000648
время 0.001785 0.001355
тема 0.000892 0.001019
наука 0.012494 0.000134
студент 0.00357 0.000235
образование 0.005801 6.2e-05
партнёр 0.002231 0.000929
международный 0.005355 0.001813
сотрудничество 0.003124 0.001351
сотрудник 0.002677 0.000534
университет 0.009817 0.000105
город 0.002231 0.003951
би 0.000446 0.001047
достижение 0.000892 4.9e-05
деятельность 0.000892 6.9e-05
грант 0.001785 0.000159
культура 0.002677 0.002221
ректор 0.001785 0.000552
конференция 0.001785 0.000138
видео 0.000892 0.001296
здоровье 0.000446 0.000609
рфф 0.000446 0.001
ггф 0.000446 0.001
выпускник 0.000892 6.9e-05
год 0.004462 0.000833
филф 0.000446 0.001099
иэм 0.000446 0.001047
победа 0.002231 0.004787
экология 0.001339 0.000928
эксперт 0.000892 0.001526
публикация 0.000446 0.000239
конкурс 0.001339 0.000119
магистратура 0.000892 5.9e-05
сае 0.002677 0.005297
tssw 0.001339 0.002648
хф 0.000446 0.001047
умный 0.001339 0.002289
инновация 0.001785 0.000893
награда 0.001339 0.002289
виу 0.001339 0.003298
фф 0.000446 0.000957
иик 0.000446 0.001099
школьник 0.000892 0.000357
абитуриент 0.002231 0.000147
сиббс 0.000446 0.001099
институт 0.009817 0.000211
человек 0.002231 0.002336
унн 0.000892 0.002199
it 0.001339 4.3e-05
аспирант 0.000446 4e-05
сибирь 0.001339 0.003141
фтф 0.000446 0.001047
большой 0.001339 0.001621
идо 0.000446 0.001099
биомед 0.000892 0.002199
фп 0.000446 0.001099
визит 0.001785 0.001023
рейтинг 0.001339 0.000742
выставка 0.001339 0.002648
коронавирус 0.000892 9e-05
олимпиада 0.000892 5.9e-05
предприятие 0.001785 0.00295
ипмкн 0.000446 0.001099
молодой 0.000446 0.000231
учёный 0.004016 0.00022
приёмный 0.002231 0.000173
кампания 0.000892 0.001638
фж 0.000446 0.001099
юи 0.000892 0.002094
исследование 0.00357 0.000116
биоклимланда 0.000446 0.001099
лекция 0.002231 0.002021
спортивный 0.000446 0.000329
жизнь 0.001785 0.001237
– 0.001339 0.000767
регион 0.002231 0.002955
фипн 0.000446 0.001047
спорт 0.000446 0.000291
арктика 0.000446 0.000738
ммф 0.000446 0.001099
нб 0.000892 0.002199
предпринимательство 0.000892 0.001182
форум 0.001339 0.002213
сфть 0.001339 0.003141
стипендия 0.001339 0.000928
научный 0.002677 5.8e-05
библиотека 0.001785 0.000989
интервью 0.000446 0.000957
ффк 0.000446 0.001047
big 0.000892 0.002
data 0.000892 0.001837
фита 0.000892 0.002199
климат 0.001339 0.002872
история 0.000892 6.9e-05
безопасность 0.003124 0.000136
иф 0.000446 0.001047
эндаумент 0.001339 0.002549
фонд 0.004016 0.00136
музей 0.004462 0.003287
минобрнауки 0.000446 0.000738
социальный 0.002231 4.8e-05
работа 0.000892 3.9e-05
фсф 0.000892 0.002094
кампус 0.000892 0.00158
онлайн 0.00357 0.001104
курс 0.001785 0.000427
фия 0.000892 0.002199
юбилей 0.000892 0.00105
140 0.000446 0.001
экспедиция 0.000892 0.001915
скат 0.000446 0.001099
трудоустройство 0.000892 0.001475
подкаст 0.000892 0.002199
праздник 0.001339 0.002213
приоритет 0.00357 0.001544
2030 0.001339 0.000646
волонтёр 0.000446 0.001047
hits 0.000446 0.001047
менделеев 0.000892 0.002
космос 0.000446 0.001
нии 0.003124 0.005733
пмм 0.000446 0.001099
акция 0.001339 0.002549
разработка 0.001339 0.000414
ботсад 0.000446 0.001047
ведущий 0.000446 0.000186
соцгум 0.001339 0.003298
цифровизация 0.000446 0.000957
консорциум 0.001339 0.003
бб 0.000892 0.002199
иностранный 0.001339 4.3e-05
промышленность 0.000446 0.000819
биотехнология 0.001339 0.00237
нацпроект 0.000892 0.002199
лаборатория 0.00357 0.001372
магистрант 0.000892 0.001766
медицина 0.000446 0.000319
ихтц 0.000446 0.001099
конфуций 0.000446 0.001099
центр 0.013833 0.000297
превосходство 0.001339 0.003141
вшж 0.000446 0.001099
стажировка 0.000446 0.000309
рнф 0.000446 0.00079
повышение 0.001339 0.000119
квалификация 0.000892 0.000111
стартап 0.000892 0.000934
бизнес 0.001339 0.000601
инкубатор 0.001339 0.002289
u 0.000446 0.001099
novus 0.000446 0.001099
день 0.004909 0.001377
рождение 0.000892 0.001766
содействие 0.000446 0.000763
занятость 0.000446 0.000957
импортозамещение 0.000446 0.001099
психология 0.000892 0.0006
я 0.001339 0.001885
профессионал 0.000446 0.00079
ия 0.000446 0.000609
профком 0.000892 0.001766
материаловедение 0.000446 0.000819
иво 0.000892 0.002199
переподготовка 0.000446 0.000957
соцсеть 0.000446 0.001
моокий 0.000446 0.001099
физика 0.001339 5.8e-05
общежитие 0.000892 0.001296
мегагрант 0.000446 0.001099
дорожный 0.000892 0.001638
карта 0.001339 0.000119
экономика 0.001785 0.000924
умс 0.000446 0.001099
патент 0.000446 0.000957
дистанционный 0.001339 2.9e-05
обучение 0.001785 1.9e-05
усмп 0.000446 0.001099
открытый 0.00357 0.001156
школа 0.00357 3.8e-05
молодёжный 0.001339 0.001016
умник 0.000892 0.001915
аккредитация 0.000892 0.000657
палеонтология 0.000446 0.001099
рго 0.000446 0.001047
эпц 0.000892 0.002199
актереть 0.000446 0.001
благотворительность 0.000446 0.000957
профориентация 0.000446 0.001099
экскурсия 0.000892 0.001766
биология 0.001785 0.000957
встреча 0.000892 0.000808
фпмк 0.000446 0.001099
дайджест 0.000892 0.002094
искусство 0.000892 0.001019
химия 0.000446 0.000223
эф 0.000446 0.001099
worldskills 0.001339 0.003298
карьера 0.000892 0.0006
биогеоклим 0.000446 0.001099
финф 0.000892 0.002199
семинар 0.001785 0.001815
робототехника 0.000446 0.000591
летний 0.001339 0.00214
проректор 0.000892 0.001638
рффи 0.000446 0.001
ректорат 0.000446 0.000763
лки 0.000446 0.001099
сцд 0.000446 0.001099
опить 0.000446 0.001099
развитие 0.002677 0.000116
премия 0.000446 0.000609
издание 0.000446 0.000329
дизайн 0.000446 0.000573
хакатон 0.000446 0.001047
secnet 0.001339 0.002648
цк 0.000446 0.001047
мцирч 0.000446 0.001099
ботаника 0.000446 0.001099
5 0.002231 0.000626
100 0.003124 0.001351
ппос 0.000446 0.001099
микропластик 0.000446 0.001099
фестиваль 0.000892 0.001526
стартапдиплый 0.000446 0.001099
концерт 0.001339 0.002006
гербарий 0.000892 0.002199
лингвистика 0.000446 0.000919
цифровой 0.003124 0.002165
генетика 0.000446 0.00085
междисциплинарность 0.000446 0.001047
инфраструктура 0.000892 0.000511
археолог 0.000446 0.001099
суперкомпьютер 0.000446 0.001099
талант 0.000892 0.002
тьюторство 0.000446 0.001099
дополнительный 0.000892 0.000431
иио 0.000446 0.001099
дпо 0.000446 0.000691
75 0.000446 0.000669
знание 0.001339 0.00067
univol 0.000446 0.001099
практика 0.000892 0.000462
геология 0.000446 0.000359
качество 0.001785 0.000893
uniprofi 0.000446 0.001099
аспирантура 0.000892 1.9e-05
потанин 0.000892 0.001766
science 0.001785 0.003399
slam 0.000446 0.001047
стройотряд 0.001339 0.003298
пиш 0.000446 0.000957
enactus 0.000446 0.001099
поздравление 0.000892 0.001915
нти 0.000446 0.001047
уип 0.000446 0.001099
презентация 0.000892 0.001699
творчество 0.000446 0.000919
детский 0.001785 0.002854
сад 0.002677 0.003888
№ 0.000446 0.000609
49 0.000892 0.00158
cern 0.000446 0.001099
росмолодёжь 0.000446 0.001099
дверь 0.000892 0.001766
преподаватель 0.000446 0.000144
министр 0.000892 0.001296
право 0.000892 0.000289
математик 0.000446 0.000609
диссертация 0.000446 0.000349
урбанистика 0.000892 0.002199
агротехнология 0.000446 0.001099
вшб 0.000446 0.001047
ноц 0.002231 0.003951
ран 0.001339 0.001401
соревнование 0.000446 0.000883
гражданский 0.000446 0.000713
губернатор 0.000446 0.00079
антропология 0.000446 0.000669
геолог 0.000446 0.001
эпоха 0.000892 0.001638
бпнуть 0.000892 0.002
generations 0.000446 0.001099
твц 0.000446 0.001099
президент 0.000446 0.000573
сириус 0.000446 0.000648
туризм 0.000446 0.000883
киберспорт 0.000446 0.001099
меценат 0.000892 0.002199
урп 0.000446 0.001047
мфу 0.000446 0.001099
университетский 0.000446 0.000329
роща 0.000446 0.001099
tempus 0.000446 0.001099
интернационализация 0.000446 0.001047
лфмша 0.000446 0.001099
зелёный 0.000446 0.000957
зоологический 0.001339 0.003298
археология 0.000446 0.000957
общество 0.001339 0.000986
3d 0.000892 0.001699
фдп 0.000446 0.001099
qs 0.000446 0.001099
управление 0.002231 2.4e-05
публикационный 0.000446 0.000264
активность 0.000446 0.000256
вуц 0.000446 0.001047
зоология 0.000446 0.001099
постдок 0.000446 0.001099
ммц 0.000446 0.001099
русский 0.000892 0.001218
язык 0.000892 0.000511
универсиада 0.000446 0.000957
mook 0.000892 0.001766
с 0.000892 0.000495
палеонтолог 0.000446 0.001099
имплантат 0.000892 0.002
прикладной 0.001785 0.000686
анализ 0.000446 0.000481
больший 0.000892 0.001338
данные 0.003124 0.001351
phd 0.000446 0.000264
журналист 0.000446 5e-05
география 0.000446 0.00085
партнёрство 0.000446 0.00079
аэрощуп 0.001339 0.002549
инженерный 0.000892 0.000431
осо 0.000446 0.001099
педагогика 0.000446 0.000669
инициатива 0.000446 0.000669
двойной 0.001339 0.002648
диплом 0.001785 0.003052
ворлдскиллс 0.000446 0.001099
ветеран 0.000892 0.002199
номц 0.000446 0.001099
биофотоник 0.000446 0.001
акселератор 0.000446 0.000957
интернет 0.001339 0.000845
лицей 0.001785 0.001525
парк 0.000892 0.002
сгт 0.000446 0.001099
студотряд 0.000892 0.002199
итбить 0.000446 0.001099
soft 0.000446 0.001099
skills 0.000446 0.001099
тгу145 0.000446 0.001099
лидерский 0.000446 0.001
церн 0.000446 0.001099
coursera 0.000446 0.001
киношкола 0.000892 0.002199
томский 0.002231 0.004249
правительство 0.000446 0.000648
магистр 0.000446 0.000883
кафедра 0.000892 4.9e-05
капелла 0.000446 0.001099
квн 0.000446 0.001099
мастер 0.000892 0.001019
класс 0.000892 0.000276
нанотехнология 0.000446 0.00085
црск 0.000446 0.001099
профсоюз 0.000446 0.001
сельский 0.000446 0.001
хозяйство 0.000446 0.000919
политика 0.002231 0.000789
чемпионат 0.000446 0.001047
капитан 0.000446 0.001047
монография 0.000446 0.001
скиф 0.000446 0.001099
образовательный 0.001339 1.4e-05
программа 0.00357 3.8e-05
менеджмент 0.001339 0.001773
hr 0.000892 0.000528
агрономия 0.000446 0.001099
астрономия 0.000446 0.000883
франция 0.000446 0.001099
демография 0.000446 0.001047
социология 0.000446 0.000919
техника 0.000446 0.000495
case 0.000892 0.002094
in 0.000892 0.001699
мнмц 0.000446 0.001099
бакалавриат 0.001339 0.000579
cool 0.000446 0.001099
university 0.000446 0.001099
этика 0.000446 0.001
раскопка 0.000446 0.001047
наблюдательный 0.000892 0.002
совет 0.002677 0.001114
нейробиология 0.000446 0.001099
почётный 0.000446 0.00079
доктор 0.000446 0.000713
западный 0.000446 0.001047
новый 0.00357 0.001663
кампусный 0.000892 0.002199
профессия 0.000446 0.00085
блокчейн 0.000446 0.001099
цпабд 0.000446 0.001099
мобильный 0.000446 0.000883
приложение 0.000446 0.000738
инфографик 0.000446 0.001099
малый 0.000446 0.000713
самый 0.000446 0.000215
тёплый 0.000446 0.001047
юриспруденция 0.000446 0.000957
оборудование 0.001339 0.001885
психологический 0.000446 0.000691
служба 0.000892 0.000302
зимний 0.000446 0.000573
издательский 0.000446 0.000957
дом 0.000446 0.000713
киреевск 0.000446 0.001099
тренинг 0.000892 0.000462
глиоксалить 0.000446 0.001099
квантовый 0.001785 0.002227
коммуникация 0.001785 0.000893
философия 0.000446 0.00079
мм 0.000446 0.001
шествие 0.000446 0.001099
металлургия 0.000446 0.000919
ректорский 0.000892 0.002094
кубок 0.000446 0.000819
постдокторантура 0.000446 0.001099
конгресс 0.000446 0.000957
медаль 0.000446 0.000669
область 0.000446 0.000158
доступный 0.000446 0.000883
среда 0.001785 0.001763
the 0.000446 0.00079
нейротехнология 0.000446 0.001099
журналистика 0.001339 7.3e-05
явтгу 0.000446 0.001099
военный 0.001785 0.002854
подготовка 0.000446 7.8e-05
увц 0.000892 0.002199
наноматериал 0.000892 0.001766
зачисление 0.000446 0.000919
опоу 0.000446 0.001099
рейтинговый 0.000446 0.001
список 0.000446 0.000273
инженер 0.000446 0.000713
кэф 0.000446 0.001099
трансдисциплинарность 0.000446 0.001099
сбербанк 0.000446 0.000957
математический 0.000892 0.000908
трансфер 0.000446 0.000713
патриотизм 0.000446 0.001099
цство 0.000446 0.001099
гто 0.000446 0.001099
диссовет 0.000446 0.001099
edcrunch 0.000446 0.001
зоолог 0.000446 0.001099
вакцинация 0.000446 0.000628
тв 0.000446 0.001
хрустальный 0.000446 0.001099
апельсин 0.000446 0.001099
венчурный 0.000446 0.001099
индия 0.000446 0.000957
творческий 0.000446 0.000193
коллектив 0.000892 0.001381
китай 0.000446 0.000609
третий 0.000446 0.00079
возраст 0.000446 0.000919
креативный 0.000446 0.001
индустрия 0.000892 0.002
летие 0.000892 0.001475
выборы 0.000446 0.001047
открытие 0.000892 0.00105
эрмитаж 0.000446 0.001099
мегапрофиль 0.000446 0.001099
метеоролог 0.000446 0.001099
глобальный 0.000446 0.000329
иностранец 0.000446 0.001047
олимпиадный 0.000446 0.001
энергетика 0.000446 0.0002
аддитивный 0.000892 0.001915
сми 0.000446 4.5e-05
находка 0.000446 0.001047
круглый 0.000446 0.001
стол 0.000446 0.000883
снтр 0.000446 0.001099
томск 0.001339 0.002457
соглашение 0.001785 0.002437
почвоведение 0.000446 0.001047
мывместе 0.000892 0.002199
цесс 0.000446 0.001099
143 0.000446 0.001
медиафорум 0.000446 0.001099
рао 0.000446 0.000957
микология 0.000446 0.001099
факультет 0.00714 0.003827
журнал 0.000446 3.5e-05
приборостроение 0.000446 0.000819
этнография 0.000446 0.001099
форсайт 0.000446 0.001099
ит 0.000892 0.001338
70 0.000446 0.000609
экосистема 0.000892 0.001837
вьетнам 0.000446 0.001099
англоязычный 0.000446 0.001
архипелаг 0.000446 0.001099
20 0.000446 0.000273
35 0.000446 0.000557
оияй 0.000446 0.001099
мамонт 0.000446 0.001099
edtech 0.000446 0.001047
компания 0.000892 0.001113
црко 0.000446 0.001099
каталитический 0.000446 0.001099
карбоновый 0.000446 0.001047
полигон 0.000446 0.000349
мобильность 0.000446 0.001
кочевник 0.000446 0.001099
суверенитет 0.000446 0.001099
rur 0.000446 0.001099
физмат 0.000446 0.001099
свч 0.000446 0.000957
народ 0.000446 0.000609
север 0.000446 0.001
ормо 0.000446 0.001099
каникулы 0.000892 0.002094
erasmus 0.000892 0.002199
лига 0.001339 0.002872
ядро 0.000892 0.001638
гмии 0.000446 0.001047
химик 0.000892 0.001915
эксперимент 0.000446 0.00079
дата 0.001785 0.002099
когнитивный 0.001339 0.00237
психогенетик 0.000892 0.002199
портфолио 0.000446 0.001099
ато 0.000446 0.001099
оуц 0.000446 0.001099
сколково 0.000892 0.001638
машиностроение 0.000446 0.000819
трцкп 0.000446 0.001099
робот 0.000446 0.000883
целевой 0.000446 0.000763
капитал 0.000446 0.000883
агробиотека 0.000446 0.001047
вступительный 0.000446 0.000883
испытание 0.000892 0.001019
тренд 0.000446 0.000919
кибербезопасность 0.000446 0.001047
финансы 0.000446 0.000359
докторант 0.000446 0.001
лидер 0.000892 0.001113
cdo 0.000446 0.001047
пчеловодство 0.000446 0.001099
адаптация 0.000446 0.000359
издательство 0.000892 0.001475
работодатель 0.000446 0.000339
итог 0.000446 0.000573
горожанин 0.000446 0.001099
метеорология 0.000446 0.001099
№49 0.000446 0.001099
литература 0.000446 0.000691
биотест 0.000446 0.001099
нано 0.000446 0.00085
ихтиолог 0.000446 0.001099
преподватель 0.000446 0.001099
федерация 0.000446 0.000481
ихтиология 0.000446 0.001099
лсай 0.000446 0.001099
этикет 0.000892 0.002094
миграция 0.000446 0.000883
голубой 0.000892 0.002094
стрела 0.000892 0.002199
почвовед 0.000446 0.001099
ио 0.000446 0.001047
американский 0.000446 0.001099
вирус 0.000446 0.001
растение 0.000446 0.001047
ссо 0.000446 0.001099
благодарность 0.000446 0.000957
апис 0.000446 0.001047
daad 0.000446 0.001099
геном 0.000446 0.000713
маастрихта 0.000446 0.001099
подводный 0.000446 0.001047
плавание 0.000892 0.001915
tisp 0.000446 0.001099
правило 0.000446 0.000628
приём 0.000446 0.000151
цмик 0.000446 0.001099
лхт 0.000446 0.001099
трон 0.000446 0.001099
самоуправление 0.000446 0.001
др 0.000446 0.000819
книга 0.001339 0.002872
н 0.001339 0.00067
а 0.001785 0.000862
у 0.000892 0.001475
к 0.000892 0.00105
бережливый 0.000446 0.000883
производство 0.000892 0.001218
назначение 0.000446 0.000763
концепция 0.000446 0.00079
machine 0.000446 0.000957
learning 0.000892 0.001915
комиссия 0.000446 0.000179
итц 0.000446 0.001047
медицинский 0.000892 0.000511
сплав 0.000446 0.001
память 0.000446 0.000883
форма 0.000446 0.0002
инвестиция 0.000446 0.001
италия 0.000446 0.001099
ресурс 0.000892 0.001381
час 0.000446 0.000713
земля 0.000892 0.001699
топ 0.000446 0.000957
лэфвэ 0.000446 0.001099
public 0.000446 0.00037
talk 0.000446 0.001099
сборная 0.000446 0.00085
ррф 0.000446 0.001099
антитеррор 0.000446 0.001099
online 0.000446 0.001047
динозавр 0.000446 0.001099
региональный 0.000892 0.001182
дать 0.000892 0.001019
органический 0.000446 0.00085
синтез 0.000446 0.00085
студвесна 0.000446 0.001099
студсовет 0.000446 0.001047
ai 0.000446 0.001
сбор 0.000446 0.000713
шад 0.000446 0.001099
вак 0.000446 0.000883
традиция 0.000446 0.000738
геоинформатика 0.000446 0.001047
ленин 0.000446 0.001
юнармия 0.000446 0.001099
гис 0.000446 0.001047
связь 0.000892 0.000289
рсмд 0.000446 0.001099
гуманитарный 0.000446 0.000525
россия 0.000892 4.9e-05
физиология 0.000446 0.000957
фото 0.000892 0.001526
территория 0.000446 0.000591
звание 0.000446 0.000919
ифпм 0.000446 0.001047
лекторий 0.000446 0.000957
студёный 0.000446 0.001099
advanced 0.000446 0.000957
воинский 0.000446 0.000883
учёт 0.000446 0.000467
опрос 0.000446 0.001
эбс 0.000446 0.001099
информация 0.000892 1.9e-05
прионитет 0.000446 0.001099
гкс 0.000446 0.001099
матрёшка 0.000446 0.001099
армия 0.000446 0.001047
дискуссия 0.000446 0.000957
биоинформатика 0.000446 0.00085
артефакт 0.000446 0.001099
статистика 0.000446 0.000919
продовольственный 0.000446 0.001047
нтр 0.000892 0.002199
